FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-11-29,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,13.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-11-30,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,5.0,11.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-01,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,12.7,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-02,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,11.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-03,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,13.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-04,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,5.0,12.7,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-05,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,12.3,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-06,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,14.0,180.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-07,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,12.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-08,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,14.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-09,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,14.3,180.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-10,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,14.3,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-11,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,13.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-12,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,13.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-13,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,5.0,13.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-14,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,5.0,13.3,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-15,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,5.0,15.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-16,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,5.0,15.3,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-17,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,11.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-18,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,15.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-19,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,7.0,12.7,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-20,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,5.0,13.0,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-21,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,13.7,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-22,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,13.7,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-23,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,13.7,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-24,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,5.0,12.7,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-25,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,5.0,11.7,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
2025-12-26,Amatitlán dos,INS011402CV,INSDMCL0114002CONV,0.0,,,,,,,,6.0,13.3,360.0,,,,,,14.4705400467,-90.6296615601,,CLIMATOLOGÍA
