FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-06-16,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,10.5,,,,,,,,8.0,7.0,135.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-17,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,9.2,,,,,,,,8.0,9.0,315.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-18,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,1.3,,,,,,,,8.0,13.3,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-19,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,27.8,,,,,,,,8.0,11.3,45.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-20,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,16.8,,,,,,,,8.0,9.0,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-21,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,3.5,,,,,,,,8.0,9.0,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-22,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,0.8,,,,,,,,8.0,11.0,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-23,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,0.0,,,,,,,,8.0,13.3,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-24,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,0.0,,,,,,,,7.0,13.3,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-25,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,0.0,,,,,,,,8.0,11.3,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-26,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,30.0,,,,,,,,8.0,11.0,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-27,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,11.3,,,,,,,,8.0,7.0,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-28,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,10.4,,,,,,,,8.0,13.3,45.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-29,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,7.0,,,,,,,,8.0,11.3,9.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-06-30,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,0.0,,,,,,,,7.0,11.3,45.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-07-01,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,1.3,,,,,,,,7.0,13.3,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-07-02,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,13.2,,,,,,,,8.0,7.0,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-07-03,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,0.0,,,,,,,,8.0,11.3,180.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-07-04,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,0.0,,,,,,,,8.0,9.0,9.0,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
2025-07-05,Antigua Guatemala,INS030101AT,INSDMCL0301001CONV,0.0,,,,,,,,8.0,13.0,197.5,,,,,,14.5397396088,-90.7382965088,1539.0,CLIMATOLOGÍA
