FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-09-04,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,0.0,36.0,21.0,29.4,6.2,,68.0,,1.0,11.0,90.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
2025-09-05,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,10.6,35.4,21.2,28.4,6.3,,72.0,,3.0,9.3,9.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
2025-09-06,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,1.0,34.4,20.6,26.6,5.9,,85.0,,5.0,11.0,90.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
2025-09-07,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,0.8,34.2,21.2,27.4,4.3,,80.0,,5.0,9.0,9.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
2025-09-08,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,38.4,35.4,20.8,28.1,5.2,,75.0,,4.0,13.0,90.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
2025-09-09,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,0.2,32.2,20.4,26.5,5.4,,79.0,,6.0,9.3,90.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
2025-09-10,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,21.4,34.0,20.6,28.5,3.6,,70.0,,3.0,9.3,9.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
2025-09-11,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,0.0,32.6,21.4,27.0,7.1,,77.0,,4.0,13.0,360.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
2025-09-12,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,0.0,33.4,23.4,28.5,4.1,,73.0,,5.0,11.0,315.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
2025-09-13,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,0.0,34.6,20.6,27.4,4.5,,77.0,,4.0,9.3,9.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
2025-09-14,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,41.4,32.6,21.0,26.9,5.2,,77.0,,5.0,11.0,90.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
2025-09-15,Asunción Mita R.H.,INS220501CV,INSDMCL2205001CONV,0.5,31.0,20.2,25.8,5.2,,85.0,,6.0,9.0,9.0,,,,,,14.3354473114,-89.7058944702,478.0,CLIMATOLOGÍA
