FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-11-16,Camotán,INS200501CV,INSDMCL2005001CONV,0.0,38.0,21.4,28.8,,,65.0,,5.0,7.0,90.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-17,Camotán,INS200501CV,INSDMCL2005001CONV,0.0,37.6,21.6,28.6,,,66.0,,4.0,7.0,45.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-18,Camotán,INS200501CV,INSDMCL2005001CONV,0.0,38.4,21.0,28.9,,,72.0,,6.0,9.0,45.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-19,Camotán,INS200501CV,INSDMCL2005001CONV,0.2,37.0,21.4,28.2,,,68.0,,6.0,13.3,45.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-20,Camotán,INS200501CV,INSDMCL2005001CONV,0.0,35.2,19.6,27.5,,,66.0,,4.0,11.0,90.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-21,Camotán,INS200501CV,INSDMCL2005001CONV,0.0,36.8,21.0,27.6,,,69.0,,4.0,9.0,45.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-22,Camotán,INS200501CV,INSDMCL2005001CONV,0.0,36.2,20.6,26.5,,,70.0,,5.0,8.3,225.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-23,Camotán,INS200501CV,INSDMCL2005001CONV,0.0,31.6,20.6,25.5,,,70.0,,7.0,13.3,360.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-24,Camotán,INS200501CV,INSDMCL2005001CONV,0.0,36.4,19.4,27.3,,,61.0,,5.0,7.0,45.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-25,Camotán,INS200501CV,INSDMCL2005001CONV,0.0,36.6,20.2,28.0,,,66.0,,5.0,9.0,315.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-26,Camotán,INS200501CV,INSDMCL2005001CONV,0.3,35.6,19.0,27.0,,,68.0,,6.0,7.0,90.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-27,Camotán,INS200501CV,INSDMCL2005001CONV,0.3,33.4,21.2,27.3,,,66.0,,6.0,13.3,45.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
2025-11-28,Camotán,INS200501CV,INSDMCL2005001CONV,0.5,31.2,21.6,25.2,,,71.0,,7.0,9.0,270.0,,,,,,14.8217506409,-89.3746109009,450.0,CLIMATOLOGÍA
