FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-08-21,Catarina,INS121601CV,INSDMCL1216001CONV,0.5,33.0,,28.3,,,87.0,,5.0,3.7,270.0,,,,,,14.8563613892,-92.0748596191,233.0,CLIMATOLOGÍA
2025-08-22,Catarina,INS121601CV,INSDMCL1216001CONV,77.4,34.2,,27.1,,,85.0,,6.0,2.0,9.0,,,,,,14.8563613892,-92.0748596191,233.0,CLIMATOLOGÍA
2025-08-23,Catarina,INS121601CV,INSDMCL1216001CONV,0.2,35.0,,28.5,,,75.0,,5.0,5.7,90.0,,,,,,14.8563613892,-92.0748596191,233.0,CLIMATOLOGÍA
2025-08-24,Catarina,INS121601CV,INSDMCL1216001CONV,24.9,33.2,,28.3,,,84.0,,6.0,5.7,270.0,,,,,,14.8563613892,-92.0748596191,233.0,CLIMATOLOGÍA
2025-08-25,Catarina,INS121601CV,INSDMCL1216001CONV,29.0,32.4,,26.8,,,85.0,,7.0,2.0,9.0,,,,,,14.8563613892,-92.0748596191,233.0,CLIMATOLOGÍA
2025-08-26,Catarina,INS121601CV,INSDMCL1216001CONV,0.1,34.6,,29.1,,,79.0,,4.0,3.7,360.0,,,,,,14.8563613892,-92.0748596191,233.0,CLIMATOLOGÍA
2025-08-27,Catarina,INS121601CV,INSDMCL1216001CONV,19.5,34.2,,27.5,,,84.0,,5.0,2.0,360.0,,,,,,14.8563613892,-92.0748596191,233.0,CLIMATOLOGÍA
2025-08-28,Catarina,INS121601CV,INSDMCL1216001CONV,22.1,33.2,,26.5,,,89.0,,5.0,3.7,360.0,,,,,,14.8563613892,-92.0748596191,233.0,CLIMATOLOGÍA
2025-08-29,Catarina,INS121601CV,INSDMCL1216001CONV,0.9,31.2,,27.2,,,86.0,,6.0,3.7,9.0,,,,,,14.8563613892,-92.0748596191,233.0,CLIMATOLOGÍA
2025-08-30,Catarina,INS121601CV,INSDMCL1216001CONV,55.1,32.6,,25.7,,,92.0,,6.0,5.7,360.0,,,,,,14.8563613892,-92.0748596191,233.0,CLIMATOLOGÍA
