FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-08-29,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,0.0,34.6,24.6,29.3,,,84.0,5.8,6.0,4.7,9.0,755.0,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-08-30,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,28.8,35.0,24.6,29.8,,,83.0,6.5,6.0,6.0,270.0,754.5,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-08-31,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,25.7,34.4,24.4,29.5,,,85.0,5.5,6.0,4.7,9.0,755.0,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-09-01,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,0.0,35.2,24.0,30.4,,,79.0,10.4,5.0,4.0,270.0,754.7,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-09-02,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,0.0,34.8,25.4,29.5,,,82.0,10.3,5.0,4.7,9.0,755.1,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-09-03,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,20.1,34.8,24.0,29.0,,,81.0,7.8,5.0,5.3,270.0,755.1,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-09-04,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,0.0,35.0,23.6,30.0,,,81.0,9.7,5.0,5.3,270.0,754.7,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-09-05,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,0.0,34.8,25.0,30.5,,,80.0,9.8,4.0,4.7,270.0,752.4,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-09-06,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,34.0,34.6,25.0,29.1,,,86.0,7.6,5.0,6.0,9.0,755.8,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-09-07,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,0.0,35.2,25.0,30.2,,,80.0,8.6,6.0,4.7,315.0,755.6,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-09-08,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,0.5,35.2,24.6,29.5,,,85.0,4.2,5.0,5.3,270.0,754.9,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-09-09,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,19.0,34.8,24.8,28.5,,,81.0,7.7,6.0,5.3,270.0,754.2,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-09-10,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,2.0,34.4,24.8,29.3,,,82.0,5.3,5.0,4.7,315.0,754.6,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
2025-09-11,Champerico Fegua,INS110701CV,INSDMCL1107001CONV,9.0,34.8,24.6,30.1,,,80.0,5.5,6.0,6.0,45.0,753.9,,,,,14.293970108,-91.9142608643,5.0,CLIMATOLOGÍA
