FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-08-08,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,0.0,34.4,20.6,27.4,,1.8,81.0,,6.0,4.7,90.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-09,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,0.0,34.8,21.2,27.2,,3.1,82.0,,6.0,3.6,0.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-10,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,0.8,34.2,21.6,27.5,,3.3,83.0,,5.0,6.5,225.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-11,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,3.1,35.2,19.4,27.1,,3.5,81.0,,6.0,7.2,9.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-12,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,19.9,34.2,20.6,26.7,,3.5,84.0,,6.0,2.4,0.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-13,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,0.0,32.4,20.2,26.3,,3.6,84.0,,6.0,6.5,180.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-14,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,0.0,34.8,21.0,24.1,,2.1,88.0,,6.0,3.6,45.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-15,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,6.1,32.6,19.4,26.1,,2.9,85.0,,6.0,4.1,90.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-16,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,1.3,33.2,21.4,27.2,,2.3,83.0,,7.0,4.8,9.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-17,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,0.0,32.6,20.6,26.3,,2.1,84.0,,6.0,4.8,9.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-18,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,16.6,35.2,19.6,27.2,,3.3,81.0,,4.0,5.3,9.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-19,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,0.0,35.6,21.0,28.0,,3.6,81.0,,5.0,6.5,90.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-20,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,16.3,32.8,19.2,25.9,,3.9,83.0,,5.0,7.7,90.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-21,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,13.8,32.8,22.4,27.1,,2.5,85.0,,6.0,5.3,9.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-22,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,0.0,32.6,21.0,26.6,,2.9,82.0,,6.0,1.7,0.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-23,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,0.0,35.2,19.8,26.8,,2.5,82.0,,6.0,2.4,0.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-24,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,0.0,33.4,19.4,26.3,,3.3,81.0,,5.0,6.0,360.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-25,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,6.9,32.6,19.4,26.0,,3.3,84.0,,7.0,2.4,0.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
2025-08-26,Chixoy PCH,INS141901CV,INSDMCL1419001CONV,9.8,34.8,19.4,26.9,,2.9,81.0,,6.0,4.8,9.0,,,,,,15.3578929901,-90.6612625122,680.0,CLIMATOLOGÍA
