FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-10-21,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,8.0,9.0,45.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-10-22,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,6.0,4.7,360.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-10-23,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,6.0,7.0,360.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-10-24,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,6.0,4.7,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-10-25,Concepción,INS050101AT,INSDMCL0501002CONV,3.9,,,,,,,,6.0,9.0,360.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-10-26,Concepción,INS050101AT,INSDMCL0501002CONV,2.5,,,,,,,,6.0,4.7,45.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-10-27,Concepción,INS050101AT,INSDMCL0501002CONV,2.2,,,,,,,,7.0,7.0,45.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-10-28,Concepción,INS050101AT,INSDMCL0501002CONV,54.7,,,,,,,,7.0,9.0,360.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-10-29,Concepción,INS050101AT,INSDMCL0501002CONV,17.0,,,,,,,,8.0,2.3,0.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-10-30,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,6.0,4.7,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-10-31,Concepción,INS050101AT,INSDMCL0501002CONV,22.5,,,,,,,,6.0,9.0,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-01,Concepción,INS050101AT,INSDMCL0501002CONV,72.0,,,,,,,,5.0,6.7,360.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-02,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,7.0,11.0,360.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-03,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,7.0,2.3,0.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-04,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,8.0,9.0,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-05,Concepción,INS050101AT,INSDMCL0501002CONV,7.9,,,,,,,,6.0,4.7,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-06,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,6.0,4.7,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-07,Concepción,INS050101AT,INSDMCL0501002CONV,29.5,,,,,,,,5.0,9.0,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-08,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,7.0,7.0,45.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-09,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,5.0,2.3,0.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-10,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,8.0,6.7,45.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-11,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,7.0,20.0,180.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-12,Concepción,INS050101AT,INSDMCL0501002CONV,0.9,,,,,,,,8.0,9.0,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-13,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,8.0,4.3,0.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-14,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,7.0,6.7,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-15,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,6.0,6.7,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-16,Concepción,INS050101AT,INSDMCL0501002CONV,37.6,,,,,,,,7.0,4.7,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-17,Concepción,INS050101AT,INSDMCL0501002CONV,6.5,,,,,,,,6.0,9.0,360.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-18,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,8.0,4.7,315.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-19,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,7.0,4.7,9.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-20,Concepción,INS050101AT,INSDMCL0501002CONV,0.0,,,,,,,,3.0,4.7,360.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
2025-11-21,Concepción,INS050101AT,INSDMCL0501002CONV,,,,,,,,,0.0,13.0,315.0,,,,,,14.3235197067,-90.7875823975,421.0,CLIMATOLOGÍA
