FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-11-17,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,25.0,9.0,19.5,,,85.0,,6.0,6.7,0.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-18,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,26.0,11.0,20.0,,,85.0,,5.0,7.3,180.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-19,El Capitán,INS071301CV,INSDMCL0713001CONV,2.0,23.0,9.0,18.0,,,88.0,,5.0,6.7,9.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-20,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,27.0,7.0,18.7,,,85.0,,1.0,4.0,9.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-21,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,28.0,6.0,18.7,,,79.0,,1.0,8.3,9.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-22,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,26.0,6.2,18.8,,,83.0,,2.0,6.7,0.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-23,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,27.0,8.0,19.7,,,82.0,,2.0,6.7,9.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-24,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,28.0,9.0,20.3,,,80.0,,3.0,6.7,0.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-25,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,26.0,8.0,19.3,,,87.0,,2.0,7.3,180.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-26,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,28.0,7.0,20.3,,,74.0,,2.0,4.7,360.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-27,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,28.0,9.0,20.3,,,74.0,,3.0,7.3,360.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-28,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,28.0,10.0,21.0,,,78.0,,3.0,7.3,360.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-29,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,28.0,8.0,19.7,,,85.0,,4.0,7.3,180.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-11-30,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,26.0,8.0,19.2,,,85.0,,3.0,7.3,180.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-12-01,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,27.0,8.0,19.5,,,85.0,,1.0,8.0,180.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-12-02,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,27.0,8.0,19.3,,,85.0,,3.0,6.7,0.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-12-03,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,27.0,10.0,19.7,,,85.0,,3.0,4.0,9.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-12-04,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,27.0,7.0,19.0,,,85.0,,2.0,7.3,180.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-12-05,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,26.0,7.0,18.7,,,85.0,,3.0,5.7,180.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-12-06,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,26.0,8.0,19.0,,,85.0,,3.0,7.3,180.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
2025-12-07,El Capitán,INS071301CV,INSDMCL0713001CONV,0.0,27.0,8.0,19.3,,,85.0,,3.0,7.3,180.0,,,,,,14.6444969177,-91.1405258179,1562.0,CLIMATOLOGÍA
