FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-02-11,El Tablón,INS070101CV,INSDMCL0401001CONV,0.0,26.0,-1.0,15.1,4.5,,84.0,10.7,2.0,1.3,90.0,,,17.9,17.9,,14.7902774811,-91.1819458008,2397.0,CLIMATOLOGÍA
2026-02-12,El Tablón,INS070101CV,INSDMCL0401001CONV,0.0,24.0,3.4,16.2,7.3,,82.0,10.5,0.0,2.0,90.0,,,17.9,17.9,,14.7902774811,-91.1819458008,2397.0,CLIMATOLOGÍA
2026-02-13,El Tablón,INS070101CV,INSDMCL0401001CONV,0.0,22.0,4.6,14.7,5.5,,88.0,10.5,2.0,3.0,360.0,,,18.0,17.9,,14.7902774811,-91.1819458008,2397.0,CLIMATOLOGÍA
2026-02-14,El Tablón,INS070101CV,INSDMCL0401001CONV,0.0,20.0,2.0,12.6,5.9,,91.0,8.8,3.0,0.7,90.0,,,18.2,17.9,,14.7902774811,-91.1819458008,2397.0,CLIMATOLOGÍA
2026-02-15,El Tablón,INS070101CV,INSDMCL0401001CONV,0.0,22.0,0.1,13.4,4.2,,85.0,10.5,2.0,3.3,90.0,,,18.3,17.9,,14.7902774811,-91.1819458008,2397.0,CLIMATOLOGÍA
2026-02-16,El Tablón,INS070101CV,INSDMCL0401001CONV,0.0,25.0,5.0,16.9,6.7,,85.0,10.6,3.0,7.0,360.0,,,18.4,17.9,,14.7902774811,-91.1819458008,2397.0,CLIMATOLOGÍA
2026-02-17,El Tablón,INS070101CV,INSDMCL0401001CONV,0.0,21.0,1.1,12.5,5.3,,89.0,10.1,2.0,0.7,360.0,,,18.5,15.3,,14.7902774811,-91.1819458008,2397.0,CLIMATOLOGÍA
2026-02-18,El Tablón,INS070101CV,INSDMCL0401001CONV,0.0,19.8,0.1,12.4,5.7,,92.0,9.4,3.0,2.3,9.0,,,18.5,18.0,,14.7902774811,-91.1819458008,2397.0,CLIMATOLOGÍA
2026-02-19,El Tablón,INS070101CV,INSDMCL0401001CONV,0.0,19.0,0.4,12.0,3.6,,84.0,8.1,4.0,1.7,180.0,,,18.4,18.2,,14.7902774811,-91.1819458008,2397.0,CLIMATOLOGÍA
2026-02-20,El Tablón,INS070101CV,INSDMCL0401001CONV,0.0,19.0,1.2,11.9,5.4,,91.0,8.6,3.0,2.3,180.0,,,18.6,18.1,,14.7902774811,-91.1819458008,2397.0,CLIMATOLOGÍA
2026-02-21,El Tablón,INS070101CV,INSDMCL0401001CONV,0.0,19.7,1.2,11.7,3.4,,93.0,10.0,1.0,0.7,180.0,,,18.6,18.1,,14.7902774811,-91.1819458008,2397.0,CLIMATOLOGÍA
