FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-08-10,Esquipulas,INS200701CV,INSDMCL2007001CONV,2.0,30.4,20.0,25.1,5.3,,71.0,9.2,4.0,6.0,45.0,682.2,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-11,Esquipulas,INS200701CV,INSDMCL2007001CONV,2.8,30.8,18.6,25.7,6.2,,67.0,8.2,3.0,0.0,0.0,681.9,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-12,Esquipulas,INS200701CV,INSDMCL2007001CONV,0.0,30.6,20.2,25.0,2.8,,72.0,5.6,6.0,0.0,0.0,682.0,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-13,Esquipulas,INS200701CV,INSDMCL2007001CONV,32.2,31.0,19.0,23.2,5.4,,78.0,7.8,4.0,2.4,0.0,682.5,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-14,Esquipulas,INS200701CV,INSDMCL2007001CONV,21.2,30.6,16.2,23.8,1.9,,75.0,9.4,4.0,3.6,0.0,683.0,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-15,Esquipulas,INS200701CV,INSDMCL2007001CONV,4.0,30.4,19.0,24.3,4.6,,73.0,7.2,6.0,2.4,0.0,683.7,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-16,Esquipulas,INS200701CV,INSDMCL2007001CONV,0.4,29.8,18.4,23.1,5.0,,81.0,7.1,7.0,0.0,0.0,682.9,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-17,Esquipulas,INS200701CV,INSDMCL2007001CONV,0.0,29.6,19.2,25.3,4.3,,66.0,10.4,5.0,7.2,45.0,682.0,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-18,Esquipulas,INS200701CV,INSDMCL2007001CONV,0.0,30.4,18.6,25.4,4.8,,67.0,10.0,2.0,6.0,45.0,681.9,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-19,Esquipulas,INS200701CV,INSDMCL2007001CONV,0.0,30.0,17.4,25.1,5.2,,56.0,10.3,5.0,2.4,0.0,682.3,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-20,Esquipulas,INS200701CV,INSDMCL2007001CONV,33.2,31.8,18.2,25.6,6.1,,66.0,9.4,3.0,6.0,45.0,681.5,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-21,Esquipulas,INS200701CV,INSDMCL2007001CONV,8.3,31.2,19.4,23.7,7.0,,78.0,8.2,7.0,2.4,0.0,681.7,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-22,Esquipulas,INS200701CV,INSDMCL2007001CONV,1.9,30.6,18.2,23.4,3.4,,80.0,7.3,7.0,2.4,0.0,682.0,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-23,Esquipulas,INS200701CV,INSDMCL2007001CONV,58.5,30.6,19.0,22.8,5.5,,82.0,8.0,7.0,2.4,0.0,681.9,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-24,Esquipulas,INS200701CV,INSDMCL2007001CONV,176.0,30.6,19.0,23.5,,,81.0,7.9,5.0,0.0,0.0,682.0,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-25,Esquipulas,INS200701CV,INSDMCL2007001CONV,19.9,29.2,18.4,24.6,,,77.0,8.2,6.0,0.0,0.0,682.1,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-26,Esquipulas,INS200701CV,INSDMCL2007001CONV,0.2,29.6,19.6,25.1,2.9,,71.0,8.6,4.0,7.2,45.0,682.9,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-27,Esquipulas,INS200701CV,INSDMCL2007001CONV,2.4,28.4,21.0,23.5,5.4,,78.0,7.6,7.0,7.2,45.0,683.2,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
2025-08-28,Esquipulas,INS200701CV,INSDMCL2007001CONV,23.1,28.2,20.2,24.3,1.3,,75.0,6.3,7.0,3.6,0.0,682.6,,,,,14.5596942902,-89.3414611816,950.0,CLIMATOLOGÍA
