FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-11-11,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,22.0,16.4,20.0,0.2,,86.0,,8.0,8.5,270.0,757.0,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-12,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,28.4,17.4,22.9,3.0,,75.0,,7.0,9.9,270.0,754.8,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-13,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,7.6,24.0,19.4,20.6,3.8,,88.0,,8.0,7.4,225.0,757.7,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-14,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,22.9,23.0,19.4,21.4,0.8,,97.0,,8.0,9.9,270.0,752.2,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-15,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,7.8,28.6,22.0,24.6,1.7,,91.0,,7.0,5.4,9.0,750.3,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-16,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,4.4,31.4,21.6,25.3,0.0,,89.0,,7.0,5.4,135.0,749.2,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-17,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.4,32.4,20.0,26.1,3.0,,83.0,,6.0,6.2,90.0,749.1,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-18,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,33.0,19.4,26.3,4.0,,80.0,,4.0,7.4,135.0,750.6,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-19,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,32.0,22.6,26.5,2.6,,81.0,,5.0,8.6,90.0,751.7,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-20,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,31.4,20.6,25.3,3.0,,87.0,,5.0,7.4,90.0,751.0,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-21,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,31.6,18.6,26.1,4.2,,79.0,,2.0,7.3,135.0,750.3,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-22,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,1.4,34.2,20.6,26.5,3.0,,79.0,,6.0,6.8,90.0,751.3,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-23,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,32.6,21.0,25.3,4.8,,85.0,,4.0,4.3,180.0,751.7,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-24,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,12.0,31.4,21.4,25.3,4.0,,88.0,,6.0,6.6,180.0,750.8,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-25,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,1.4,32.0,20.4,25.8,4.0,,86.0,,4.0,6.8,90.0,749.0,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-26,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,3.0,28.8,21.0,23.1,3.4,,97.0,,7.0,5.0,135.0,750.9,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-27,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,5.4,31.4,22.0,25.2,2.6,,85.0,,6.0,7.4,270.0,752.5,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-28,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,1.3,29.0,20.6,24.3,4.4,,86.0,,5.0,12.3,45.0,752.5,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-29,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,29.0,20.0,24.3,3.1,,82.0,,6.0,5.9,315.0,752.4,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-11-30,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,1.0,29.0,19.6,23.9,4.3,,54.0,,4.0,8.6,9.0,750.7,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-12-01,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,31.4,20.0,24.9,3.4,,84.0,,4.0,5.4,135.0,750.6,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-12-02,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,32.0,20.0,25.7,6.2,,83.0,,4.0,4.9,180.0,750.5,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-12-03,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,32.0,21.4,26.0,3.4,,79.0,,4.0,9.9,90.0,751.5,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-12-04,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,32.4,19.6,25.3,6.4,,84.0,,2.0,3.6,135.0,751.0,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-12-05,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,31.0,19.0,25.7,3.6,,80.0,,4.0,7.4,180.0,750.5,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-12-06,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,32.4,19.0,26.0,4.2,,82.0,,4.0,7.3,135.0,749.5,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-12-07,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,0.0,33.8,19.6,24.7,3.8,,80.0,,2.0,8.6,9.0,749.0,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-12-08,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,1.8,32.0,21.8,26.1,0.0,,85.0,,8.0,4.3,360.0,749.8,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-12-09,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,51.6,27.6,23.0,24.9,4.8,,93.0,,8.0,6.6,315.0,750.4,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-12-10,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,6.0,28.6,22.2,25.0,4.0,,88.0,,7.0,9.9,270.0,750.5,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
2025-12-11,Flores Aeropuerto,INS170101CV,INSDMCL1701001CONV,,,22.4,22.6,4.0,,98.0,,8.0,7.0,260.0,751.9,,,,,16.9160938263,-89.866859436,123.0,CLIMATOLOGÍA
