FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-10-18,Huehuetenango,INS130101CV,INSDMCL1301001CONV,0.0,26.0,15.0,20.3,4.1,,69.0,9.0,6.0,6.2,0.0,610.9,,,,0.9,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
2025-10-19,Huehuetenango,INS130101CV,INSDMCL1301001CONV,0.9,25.8,14.4,19.3,4.6,,76.0,7.0,6.0,6.2,9.0,611.7,,,,1.1,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
2025-10-20,Huehuetenango,INS130101CV,INSDMCL1301001CONV,1.0,26.8,15.8,20.2,4.3,,72.0,5.5,7.0,11.1,90.0,612.5,,,,1.4,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
2025-10-21,Huehuetenango,INS130101CV,INSDMCL1301001CONV,0.0,25.8,15.8,20.2,3.0,,70.0,7.8,6.0,9.9,9.0,612.5,,,,0.7,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
2025-10-22,Huehuetenango,INS130101CV,INSDMCL1301001CONV,0.0,24.6,12.6,17.4,4.9,,77.0,8.3,7.0,6.2,90.0,612.0,,,,0.9,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
2025-10-23,Huehuetenango,INS130101CV,INSDMCL1301001CONV,0.0,25.0,14.2,19.3,3.1,,69.0,7.7,7.0,8.6,135.0,611.5,,,,1.2,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
2025-10-24,Huehuetenango,INS130101CV,INSDMCL1301001CONV,0.0,25.0,14.6,19.7,3.9,,66.0,5.8,7.0,8.6,90.0,612.0,,,,1.4,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
2025-10-25,Huehuetenango,INS130101CV,INSDMCL1301001CONV,0.0,27.0,12.8,20.5,3.1,,61.0,9.9,3.0,3.7,0.0,611.9,,,,1.1,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
2025-10-26,Huehuetenango,INS130101CV,INSDMCL1301001CONV,0.0,27.6,14.8,21.5,5.9,,59.0,9.1,5.0,6.2,90.0,610.8,,,,1.2,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
2025-10-27,Huehuetenango,INS130101CV,INSDMCL1301001CONV,0.0,27.2,11.4,19.7,4.9,,64.0,8.9,5.0,4.9,9.0,610.9,,,,1.2,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
2025-10-28,Huehuetenango,INS130101CV,INSDMCL1301001CONV,0.0,28.4,13.2,20.7,4.4,,68.0,7.9,5.0,3.7,0.0,610.8,,,,1.0,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
2025-10-29,Huehuetenango,INS130101CV,INSDMCL1301001CONV,4.4,27.4,15.4,20.0,4.8,,73.0,6.8,7.0,0.0,0.0,612.7,,,,0.8,15.31828022,-91.5024032593,1870.0,CLIMATOLOGÍA
