FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-12-23,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,21.7,15.8,18.2,1.9,1.6,80.0,3.7,6.0,6.7,360.0,,,21.2,22.3,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
2025-12-24,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,22.3,16.1,18.8,,,81.0,0.6,4.0,7.0,315.0,,,21.1,22.2,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
2025-12-25,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,22.8,15.6,19.2,1.5,1.0,76.0,6.6,6.0,5.0,270.0,,,21.0,21.7,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
2025-12-26,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,21.4,15.3,18.3,0.8,2.0,78.0,4.5,5.0,6.3,360.0,,,21.0,22.0,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
2025-12-27,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,23.1,14.0,18.0,4.4,1.5,79.0,7.8,3.0,3.7,360.0,,,21.0,22.0,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
2025-12-28,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,25.8,14.1,19.3,0.9,2.3,76.0,7.2,4.0,2.3,360.0,,,21.0,22.0,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
2025-12-29,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,23.0,14.7,19.2,2.7,1.8,76.0,7.5,5.0,3.3,360.0,,,21.1,22.0,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
2025-12-30,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,20.5,15.1,17.8,4.0,2.1,73.0,7.3,4.0,3.3,0.0,,,21.1,22.0,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
2025-12-31,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,20.2,14.3,17.8,2.0,2.0,77.0,7.0,4.0,6.7,0.0,,,21.1,22.2,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
2026-01-01,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,22.1,12.2,16.8,1.9,2.2,77.0,7.6,4.0,1.7,0.0,,,21.4,21.8,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
2026-01-02,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,21.1,13.0,17.7,5.9,0.0,77.0,7.3,4.0,4.7,360.0,,,20.6,21.8,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
2026-01-03,INSIVUMEH,INS010101CV,INSDMCL0101001CONV,0.0,23.0,14.0,18.1,,2.0,89.0,6.7,5.0,1.7,0.0,,,20.8,21.6,,14.587266922,-90.5326766968,1502.0,CLIMATOLOGÍA
