FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-12-22,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,2.0,9.7,90.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2025-12-23,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,5.0,8.3,90.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2025-12-24,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,7.0,9.0,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2025-12-25,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,6.0,6.0,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2025-12-26,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,5.0,4.7,90.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2025-12-27,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,5.0,3.3,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2025-12-28,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,5.0,2.7,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2025-12-29,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,5.0,4.0,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2025-12-30,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,5.0,8.7,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2025-12-31,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,6.0,8.3,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-01,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,4.0,4.7,9.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-02,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,5.0,5.7,270.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-03,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,5.0,270.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-04,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,3.7,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-05,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,4.0,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-06,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,3.3,9.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-07,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,4.0,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-08,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,4.0,4.0,180.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-09,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,4.0,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-10,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,3.0,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-11,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,4.0,10.3,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-12,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,5.0,8.3,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-13,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,4.7,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-14,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,5.0,3.0,9.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-15,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,7.7,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-16,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,5.0,4.0,9.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-17,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,3.7,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-18,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,7.7,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-19,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,5.0,8.0,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-20,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,3.0,6.3,90.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-21,Ixchiguán,INS122301AT,INSDMCL1223001CONV,0.0,,,,,,,,6.0,4.0,45.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
2026-01-22,Ixchiguán,INS122301AT,INSDMCL1223001CONV,,,,,,,,,0.0,4.0,90.0,,,,,,15.1648302078,-91.9394989014,3336.0,CLIMATOLOGÍA
