FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-03-22,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,27.2,12.4,19.9,,,58.0,,2.0,13.0,90.0,638.7,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-03-23,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,28.6,14.2,21.5,,,54.0,,3.0,16.0,45.0,638.7,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-03-24,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,25.8,13.4,20.4,,,58.0,,3.0,21.0,360.0,639.0,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-03-25,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,27.8,13.2,20.6,,,55.0,,2.0,23.4,360.0,638.7,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-03-26,La Aurora,INS010102CV,INSDMCL0101002CONV,1.0,25.8,14.4,20.1,,,60.0,,5.0,24.7,45.0,638.6,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-03-27,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,25.8,14.4,19.9,,,66.0,,4.0,23.4,45.0,638.5,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-03-28,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,23.6,15.0,18.9,,,68.0,,6.0,29.6,45.0,639.7,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-03-29,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,26.0,13.4,19.7,,,56.0,,3.0,28.4,360.0,640.0,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-03-30,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,27.2,15.2,21.1,,,60.0,,3.0,24.7,45.0,639.6,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-03-31,La Aurora,INS010102CV,INSDMCL0101002CONV,38.0,,16.6,21.8,,,61.0,,4.0,16.7,35.0,639.6,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-01,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,26.0,13.8,20.9,,,71.0,,7.0,13.6,180.0,638.5,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-02,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,26.6,15.6,20.7,,,70.0,,6.0,16.0,225.0,638.1,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-03,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,26.8,15.2,20.7,,,72.0,,5.0,13.6,225.0,638.2,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-04,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,26.0,17.4,21.0,,,74.0,,8.0,12.3,180.0,638.5,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-05,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,,15.8,21.9,,,68.0,,6.0,18.5,15.0,639.0,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-06,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,27.4,17.0,21.9,,,64.0,,7.0,25.9,360.0,638.3,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-07,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,24.8,17.2,20.6,,,68.0,,8.0,22.2,45.0,638.2,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-08,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,28.2,15.8,21.9,,,67.0,,6.0,14.8,180.0,638.6,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-09,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,28.8,16.2,22.9,,,60.0,,5.0,25.9,45.0,638.9,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-10,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,28.8,15.6,22.8,,,55.0,,2.0,22.2,360.0,639.7,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-11,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,27.2,16.0,21.7,,,58.0,,6.0,33.3,360.0,639.8,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
2026-04-12,La Aurora,INS010102CV,INSDMCL0101002CONV,0.0,27.6,14.6,21.7,,,59.0,,4.0,25.8,45.0,639.9,,,,,14.5861902237,-90.5277328491,1491.0,CLIMATOLOGÍA
