FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-03-20,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,25.3,,21.6,,,61.0,8.0,6.0,9.0,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-03-21,La Ceibita,INS210601CV,INSDMCL2106001CONV,,26.4,,20.9,,,52.0,8.4,4.0,9.3,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-03-22,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,27.2,,26.1,,,43.0,8.1,5.0,13.0,90.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-03-23,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,30.0,,23.7,,,51.0,10.2,5.0,7.3,90.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-03-24,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,28.2,,22.2,,,57.0,9.4,4.0,11.7,45.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-03-25,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,29.3,,22.9,,,53.0,9.2,4.0,5.7,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-03-26,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,26.1,,22.8,,,55.0,5.4,7.0,15.3,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-03-27,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,27.1,,23.5,,,61.0,7.2,6.0,7.3,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-03-28,La Ceibita,INS210601CV,INSDMCL2106001CONV,1.0,25.0,,22.4,,,66.0,4.6,7.0,15.7,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-03-29,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,25.4,,21.4,,,62.0,6.5,5.0,11.7,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-03-30,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,28.0,,24.7,,,53.0,8.6,5.0,13.0,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-03-31,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,30.2,,25.2,,,56.0,6.4,7.0,9.3,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-01,La Ceibita,INS210601CV,INSDMCL2106001CONV,1.1,30.0,,22.5,,,75.0,5.4,7.0,7.3,9.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-02,La Ceibita,INS210601CV,INSDMCL2106001CONV,11.6,29.1,,22.5,,,74.0,8.5,7.0,5.3,9.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-03,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,30.0,,24.5,,,64.0,6.4,4.0,5.3,9.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-04,La Ceibita,INS210601CV,INSDMCL2106001CONV,3.4,30.3,,24.3,,,66.0,8.3,5.0,5.7,9.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-05,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,30.4,,25.9,,,56.0,9.2,6.0,7.3,9.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-06,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,30.2,,25.6,,,55.0,8.5,6.0,11.7,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-07,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,25.0,,23.2,,,69.0,1.2,7.0,7.3,45.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-08,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,31.1,,25.2,,,59.0,8.4,5.0,9.3,90.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-09,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,30.2,,25.2,,,58.0,9.6,4.0,9.3,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-10,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,31.2,,25.3,,,53.0,10.2,2.0,11.7,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-11,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,29.2,,24.5,,,57.0,9.6,6.0,11.7,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-12,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,28.3,,23.6,,,59.0,9.2,4.0,14.0,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-13,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,28.0,,23.5,,,58.0,11.5,5.0,7.3,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-14,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,29.3,,24.1,,,55.0,10.4,4.0,7.3,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-15,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,31.0,,25.4,,,47.0,10.2,5.0,9.7,45.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-16,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,30.2,,24.5,,,54.0,10.3,5.0,5.3,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-17,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,31.0,,25.7,,,52.0,10.4,4.0,5.7,45.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-18,La Ceibita,INS210601CV,INSDMCL2106001CONV,6.0,30.4,,25.3,,,59.0,10.5,5.0,7.3,135.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-19,La Ceibita,INS210601CV,INSDMCL2106001CONV,0.0,29.2,,25.0,,,64.0,5.2,7.0,5.3,90.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
2026-04-20,La Ceibita,INS210601CV,INSDMCL2106001CONV,,,,19.0,,,86.0,,6.0,2.0,360.0,,,,,,14.4945087433,-89.878944397,960.0,CLIMATOLOGÍA
