FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-03-14,La Fragua,INS190201CV,INSDMCL1902001CONV,0.0,36.0,21.5,29.0,6.0,,57.0,9.5,3.0,11.3,315.0,740.7,,,,,14.9655303955,-89.5843734741,227.0,CLIMATOLOGÍA
2026-03-15,La Fragua,INS190201CV,INSDMCL1902001CONV,0.0,39.4,23.0,30.5,6.9,,52.0,10.4,5.0,10.3,315.0,738.3,,,,,14.9655303955,-89.5843734741,227.0,CLIMATOLOGÍA
2026-03-16,La Fragua,INS190201CV,INSDMCL1902001CONV,0.0,41.4,22.6,32.5,5.6,,46.0,10.5,1.0,7.7,270.0,737.1,,,,,14.9655303955,-89.5843734741,227.0,CLIMATOLOGÍA
2026-03-17,La Fragua,INS190201CV,INSDMCL1902001CONV,3.9,32.6,23.8,26.2,8.9,,69.0,3.7,8.0,5.0,45.0,741.4,,,,,14.9655303955,-89.5843734741,227.0,CLIMATOLOGÍA
2026-03-18,La Fragua,INS190201CV,INSDMCL1902001CONV,0.0,33.4,21.2,27.6,3.7,,52.0,10.5,4.0,17.0,45.0,742.3,,,,,14.9655303955,-89.5843734741,227.0,CLIMATOLOGÍA
2026-03-19,La Fragua,INS190201CV,INSDMCL1902001CONV,0.0,32.2,20.5,26.0,6.9,,63.0,4.5,7.0,13.3,45.0,742.8,,,,,14.9655303955,-89.5843734741,227.0,CLIMATOLOGÍA
2026-03-20,La Fragua,INS190201CV,INSDMCL1902001CONV,0.0,31.2,18.2,24.8,4.6,,58.0,7.6,4.0,16.0,90.0,742.9,,,,,14.9655303955,-89.5843734741,227.0,CLIMATOLOGÍA
2026-03-21,La Fragua,INS190201CV,INSDMCL1902001CONV,0.0,32.6,16.5,25.7,4.8,,52.0,10.0,1.0,13.0,90.0,742.5,,,,,14.9655303955,-89.5843734741,227.0,CLIMATOLOGÍA
2026-03-22,La Fragua,INS190201CV,INSDMCL1902001CONV,0.0,33.0,17.0,26.1,7.6,,53.0,9.0,2.0,10.3,45.0,741.8,,,,,14.9655303955,-89.5843734741,227.0,CLIMATOLOGÍA
2026-03-23,La Fragua,INS190201CV,INSDMCL1902001CONV,0.0,34.2,19.0,27.6,7.0,,50.0,11.0,1.0,15.0,90.0,741.4,,,,,14.9655303955,-89.5843734741,227.0,CLIMATOLOGÍA
