FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-06-16,La Reforma,INS122101AT,INSDMCL1221001CONV,49.0,,,,,,,,7.0,11.7,45.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-17,La Reforma,INS122101AT,INSDMCL1221001CONV,56.8,,,,,,,,8.0,18.3,9.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-18,La Reforma,INS122101AT,INSDMCL1221001CONV,56.3,,,,,,,,8.0,7.3,9.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-19,La Reforma,INS122101AT,INSDMCL1221001CONV,0.0,,,,,,,,6.0,15.3,180.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-20,La Reforma,INS122101AT,INSDMCL1221001CONV,17.3,,,,,,,,8.0,7.3,225.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-21,La Reforma,INS122101AT,INSDMCL1221001CONV,29.6,,,,,,,,7.0,13.3,45.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-22,La Reforma,INS122101AT,INSDMCL1221001CONV,29.0,,,,,,,,8.0,7.3,45.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-23,La Reforma,INS122101AT,INSDMCL1221001CONV,13.2,,,,,,,,8.0,9.7,9.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-24,La Reforma,INS122101AT,INSDMCL1221001CONV,12.6,,,,,,,,8.0,7.3,225.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-25,La Reforma,INS122101AT,INSDMCL1221001CONV,14.8,,,,,,,,8.0,16.0,180.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-26,La Reforma,INS122101AT,INSDMCL1221001CONV,18.3,,,,,,,,7.0,7.3,45.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-27,La Reforma,INS122101AT,INSDMCL1221001CONV,36.4,,,,,,,,6.0,18.0,9.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
2025-06-28,La Reforma,INS122101AT,INSDMCL1221001CONV,27.6,,,,,,,,8.0,7.3,9.0,,,,,,14.8000001907,-91.8167037964,1133.0,CLIMATOLOGÍA
