FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-10-22,La Unión,INS190901CV,INSDMCL1909001CONV,15.5,24.0,19.5,21.7,,,88.0,,6.0,4.7,45.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-10-23,La Unión,INS190901CV,INSDMCL1909001CONV,13.1,25.5,19.5,21.8,,,88.0,,6.0,5.7,90.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-10-24,La Unión,INS190901CV,INSDMCL1909001CONV,1.0,24.5,19.5,21.9,,,85.0,,8.0,5.7,90.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-10-25,La Unión,INS190901CV,INSDMCL1909001CONV,0.0,26.0,19.0,23.8,,,79.0,,5.0,7.3,90.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-10-26,La Unión,INS190901CV,INSDMCL1909001CONV,0.0,27.0,19.5,23.7,,,76.0,,5.0,5.3,45.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-10-27,La Unión,INS190901CV,INSDMCL1909001CONV,0.0,25.5,21.0,23.8,,,78.0,,6.0,6.0,90.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-10-28,La Unión,INS190901CV,INSDMCL1909001CONV,0.0,27.0,20.5,23.7,,,80.0,,4.0,5.0,45.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-10-29,La Unión,INS190901CV,INSDMCL1909001CONV,0.0,25.5,21.5,22.9,,,80.0,,5.0,6.7,90.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-10-30,La Unión,INS190901CV,INSDMCL1909001CONV,0.0,24.0,19.5,21.1,,,73.0,,7.0,7.7,9.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-10-31,La Unión,INS190901CV,INSDMCL1909001CONV,0.0,23.5,18.0,20.4,,,86.0,,7.0,5.3,9.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-11-01,La Unión,INS190901CV,INSDMCL1909001CONV,0.0,23.5,18.5,20.3,,,85.0,,7.0,3.3,9.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-11-02,La Unión,INS190901CV,INSDMCL1909001CONV,2.6,25.5,17.0,20.8,,,88.0,,5.0,3.0,360.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
2025-11-03,La Unión,INS190901CV,INSDMCL1909001CONV,1.0,21.5,18.0,19.4,,,86.0,,8.0,9.7,90.0,,,,,,14.9633331299,-89.2911148071,1000.0,CLIMATOLOGÍA
