FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-10-30,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,22.2,12.4,16.5,1.6,,78.0,5.7,7.0,4.9,45.0,579.2,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-10-31,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,5.9,21.8,11.2,16.1,3.7,,82.0,4.9,7.0,3.7,0.0,579.0,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-01,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,22.0,9.8,15.1,0.9,,83.0,5.1,6.0,8.6,0.0,578.7,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-02,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,23.2,8.0,15.3,2.7,,68.0,8.2,5.0,7.4,45.0,579.1,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-03,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,20.6,7.8,14.9,5.8,,75.0,5.6,8.0,8.6,45.0,579.1,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-04,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,19.6,10.0,14.7,4.7,,84.0,2.2,7.0,4.9,45.0,579.3,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-05,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,25.0,5.6,12.7,2.9,,82.0,2.3,6.0,7.4,45.0,579.1,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-06,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,23.6,5.4,13.6,1.4,,79.0,5.3,6.0,3.7,45.0,579.6,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-07,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,24.4,5.4,14.6,2.3,,77.0,5.7,5.0,7.4,45.0,579.4,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-08,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,25.2,8.6,16.3,3.4,,73.0,5.2,7.0,3.7,45.0,579.5,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-09,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,25.0,9.4,17.1,3.8,,72.0,7.3,5.0,4.9,45.0,579.5,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-10,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,19.4,11.6,14.5,2.4,,76.0,0.5,7.0,4.9,45.0,580.0,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-11,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,20.4,11.8,14.3,2.5,,72.0,7.2,5.0,4.9,45.0,579.7,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-12,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,20.8,9.4,14.9,2.9,,72.0,5.7,4.0,8.6,0.0,579.7,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-13,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,21.2,12.0,16.1,2.3,,69.0,6.3,5.0,7.4,45.0,579.4,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-14,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,21.4,9.4,16.5,2.7,,67.0,5.7,6.0,9.2,45.0,579.3,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-15,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,22.2,10.2,16.7,3.2,,73.0,6.7,5.0,6.2,45.0,578.7,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-16,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.2,23.0,5.4,14.7,2.6,,80.0,5.4,5.0,5.6,0.0,578.8,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-17,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.3,23.4,11.0,16.7,2.7,,78.0,4.5,7.0,2.5,0.0,579.5,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-18,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,25.0,11.2,17.7,4.6,,75.0,6.6,6.0,6.2,90.0,579.5,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-19,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,22.0,7.8,14.0,2.4,,84.0,5.5,8.0,2.5,45.0,579.3,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-20,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,25.2,5.0,14.3,2.3,,77.0,6.8,4.0,3.7,0.0,579.5,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-21,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,24.0,2.0,14.1,2.9,,73.0,8.5,3.0,7.4,45.0,579.4,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-22,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,22.0,2.4,13.3,1.9,,83.0,7.2,4.0,8.6,9.0,579.3,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-23,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,24.4,9.8,17.0,3.1,,78.0,6.2,4.0,4.9,45.0,579.5,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-24,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,23.2,6.0,14.7,1.4,,73.0,7.0,3.0,1.8,0.0,578.8,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-25,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,25.4,3.4,14.6,0.9,,70.0,6.9,3.0,6.2,45.0,578.4,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-26,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,22.6,3.4,13.8,2.5,,70.0,8.5,1.0,10.5,45.0,578.7,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-27,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,21.6,8.2,14.8,2.0,,71.0,7.4,3.0,4.9,0.0,579.5,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-28,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,18.8,10.8,14.4,2.7,,75.0,7.3,5.0,1.8,0.0,579.4,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-29,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,0.0,23.4,9.8,15.2,3.0,,70.0,7.3,5.0,2.5,0.0,578.9,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
2025-11-30,Labor Ovalle,INS090301CV,INSDMCL0903001CONV,,,4.4,5.0,2.9,,97.0,,2.0,0.0,0.0,579.2,,,,,14.8713340759,-91.5144348145,2380.0,CLIMATOLOGÍA
