FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-06-18,Las Nubes,INS010302AT,INSDMCL0103002CONV,27.8,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-19,Las Nubes,INS010302AT,INSDMCL0103002CONV,17.1,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-20,Las Nubes,INS010302AT,INSDMCL0103002CONV,10.9,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-21,Las Nubes,INS010302AT,INSDMCL0103002CONV,21.8,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-22,Las Nubes,INS010302AT,INSDMCL0103002CONV,5.9,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-23,Las Nubes,INS010302AT,INSDMCL0103002CONV,1.5,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-24,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.2,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-25,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.6,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-26,Las Nubes,INS010302AT,INSDMCL0103002CONV,20.8,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-27,Las Nubes,INS010302AT,INSDMCL0103002CONV,30.9,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-28,Las Nubes,INS010302AT,INSDMCL0103002CONV,4.9,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-29,Las Nubes,INS010302AT,INSDMCL0103002CONV,1.1,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-06-30,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.0,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-01,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.0,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-02,Las Nubes,INS010302AT,INSDMCL0103002CONV,2.0,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-03,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.1,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-04,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.0,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-05,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.1,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-06,Las Nubes,INS010302AT,INSDMCL0103002CONV,3.0,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-07,Las Nubes,INS010302AT,INSDMCL0103002CONV,37.5,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-08,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.0,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-09,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.2,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-10,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.0,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-11,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.0,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-12,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.0,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-13,Las Nubes,INS010302AT,INSDMCL0103002CONV,5.4,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-14,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.1,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-15,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.0,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-16,Las Nubes,INS010302AT,INSDMCL0103002CONV,0.0,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
2025-07-17,Las Nubes,INS010302AT,INSDMCL0103002CONV,,,,,,,,,,,,,,,,,14.5523414612,-90.3168334961,,CLIMATOLOGÍA
