FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-08-30,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,0.0,33.0,20.0,27.5,,,85.0,,8.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-08-31,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,0.0,34.0,22.0,29.0,,,84.0,,7.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-01,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,4.0,34.8,22.0,29.3,,,81.0,,7.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-02,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,30.0,33.0,22.0,28.5,,,86.0,,8.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-03,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,0.0,34.0,22.0,29.0,,,84.0,,7.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-04,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,0.0,35.0,22.0,29.7,,,83.0,,7.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-05,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,0.0,35.0,22.0,29.3,,,82.0,,7.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-06,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,0.0,34.0,21.0,28.5,,,83.0,,7.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-07,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,2.0,35.0,22.0,29.2,,,83.0,,7.0,3.7,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-08,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,40.0,33.8,22.0,28.3,,,84.0,,7.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-09,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,66.0,34.0,20.0,28.3,,,84.0,,7.0,5.7,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-10,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,6.0,34.0,21.0,28.3,,,84.0,,7.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-11,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,18.0,32.0,20.0,27.7,,,86.0,,7.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
2025-09-12,Las Vegas PHC,INS180201CV,INSDMCL1802001CONV,2.0,32.0,21.0,27.0,,,85.0,,8.0,2.0,,,,,,,15.5854158401,-88.9446868896,10.0,CLIMATOLOGÍA
