FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-06-30,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,7.0,7.0,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-01,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.3,,,,,,,,6.0,11.0,9.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-02,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,11.0,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-03,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,7.0,225.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-04,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,9.0,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-05,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,6.0,5.7,9.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-06,Lo de Coy,INS010801AT,INSDMCL0108001CONV,2.2,,,,,,,,5.0,7.0,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-07,Lo de Coy,INS010801AT,INSDMCL0108001CONV,26.8,,,,,,,,8.0,7.7,135.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-08,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,9.0,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-09,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,7.0,360.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-10,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,7.0,225.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-11,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,9.0,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-12,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,7.0,360.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-13,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,4.0,9.0,225.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-14,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,6.0,7.0,180.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-15,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,3.0,7.0,225.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-16,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,2.0,7.0,360.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-17,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,4.0,9.0,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-18,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,11.0,270.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-19,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,18.0,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-20,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,7.0,11.0,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-21,Lo de Coy,INS010801AT,INSDMCL0108001CONV,1.4,,,,,,,,5.0,11.0,9.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-22,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,7.0,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-23,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,4.0,17.5,340.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-24,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,2.0,6.0,360.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-25,Lo de Coy,INS010801AT,INSDMCL0108001CONV,1.3,,,,,,,,6.0,11.3,360.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-26,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.7,,,,,,,,7.0,8.0,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-27,Lo de Coy,INS010801AT,INSDMCL0108001CONV,7.2,,,,,,,,7.0,11.0,9.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-28,Lo de Coy,INS010801AT,INSDMCL0108001CONV,0.0,,,,,,,,5.0,10.0,135.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-29,Lo de Coy,INS010801AT,INSDMCL0108001CONV,4.2,,,,,,,,7.0,8.3,45.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
2025-07-30,Lo de Coy,INS010801AT,INSDMCL0108001CONV,,,,,,,,,8.0,7.0,360.0,,,,,,14.6210899353,-90.5992202759,1686.0,CLIMATOLOGÍA
