FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-11-11,Los Albores,INS020301CV,INSDMCL0203001CONV,1.6,18.5,15.5,16.5,,,,,6.0,0.0,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-12,Los Albores,INS020301CV,INSDMCL0203001CONV,0.0,20.5,11.0,15.5,,,,,4.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-13,Los Albores,INS020301CV,INSDMCL0203001CONV,0.2,23.5,12.0,17.8,,,,,6.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-14,Los Albores,INS020301CV,INSDMCL0203001CONV,1.8,24.0,13.0,18.2,,,,,7.0,0.0,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-15,Los Albores,INS020301CV,INSDMCL0203001CONV,0.3,24.5,15.0,18.5,,,,,6.0,0.0,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-16,Los Albores,INS020301CV,INSDMCL0203001CONV,0.0,25.0,14.5,19.0,,,,,4.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-17,Los Albores,INS020301CV,INSDMCL0203001CONV,0.0,28.0,15.0,22.3,,,,,4.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-18,Los Albores,INS020301CV,INSDMCL0203001CONV,0.2,23.0,16.0,19.2,,,,,7.0,0.0,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-19,Los Albores,INS020301CV,INSDMCL0203001CONV,0.3,26.0,16.0,19.6,,,,,7.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-20,Los Albores,INS020301CV,INSDMCL0203001CONV,0.0,25.0,14.5,20.0,,,,,6.0,0.0,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-21,Los Albores,INS020301CV,INSDMCL0203001CONV,0.0,25.5,13.5,19.8,,,,,4.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-22,Los Albores,INS020301CV,INSDMCL0203001CONV,0.0,25.0,13.0,19.2,,,,,5.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-23,Los Albores,INS020301CV,INSDMCL0203001CONV,1.3,23.5,14.0,19.2,,,,,5.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-24,Los Albores,INS020301CV,INSDMCL0203001CONV,0.0,26.0,13.2,19.5,,,,,4.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-25,Los Albores,INS020301CV,INSDMCL0203001CONV,0.0,26.5,14.0,19.8,,,,,5.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-26,Los Albores,INS020301CV,INSDMCL0203001CONV,1.2,26.0,13.5,19.8,,,,,4.0,0.0,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-27,Los Albores,INS020301CV,INSDMCL0203001CONV,0.5,22.0,14.0,17.8,,,,,8.0,0.0,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-28,Los Albores,INS020301CV,INSDMCL0203001CONV,1.6,23.0,15.0,18.3,,,,,7.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-29,Los Albores,INS020301CV,INSDMCL0203001CONV,2.9,22.0,14.0,17.7,,,,,7.0,0.0,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-11-30,Los Albores,INS020301CV,INSDMCL0203001CONV,0.4,23.5,14.0,18.0,,,,,6.0,0.0,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-12-01,Los Albores,INS020301CV,INSDMCL0203001CONV,0.0,23.0,13.5,18.2,,,,,7.0,0.7,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
2025-12-02,Los Albores,INS020301CV,INSDMCL0203001CONV,,24.5,14.0,18.3,,,,,6.0,0.0,0.0,,,,,,15.0524997711,-89.9491653442,1391.0,CLIMATOLOGÍA
