FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-12-28,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,22.4,3.0,14.1,5.1,,75.0,6.1,5.0,6.2,0.0,579.1,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2025-12-29,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,21.4,2.6,13.4,2.0,,65.0,5.5,5.0,7.4,90.0,579.3,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2025-12-30,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,19.8,5.4,13.1,2.2,,74.0,5.4,5.0,12.3,45.0,580.3,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2025-12-31,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,21.0,8.8,14.7,2.1,,65.0,7.3,3.0,16.0,45.0,580.9,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-01,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,22.6,0.4,12.9,2.9,,74.0,6.0,6.0,3.7,0.0,580.2,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-02,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,21.4,6.2,13.9,1.8,,81.0,6.6,5.0,3.7,0.0,578.8,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-03,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,23.4,6.0,14.9,2.0,,75.0,7.1,3.0,7.4,9.0,578.8,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-04,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,23.8,1.0,13.9,2.3,,65.0,8.2,3.0,4.9,0.0,579.7,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-05,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,24.0,-2.0,13.0,3.0,,71.0,9.5,0.0,2.5,0.0,579.5,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-06,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,24.0,0.0,13.5,4.0,,66.0,9.0,2.0,8.6,360.0,578.8,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-07,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,23.6,-5.0,12.2,2.2,,67.0,9.3,0.0,12.3,360.0,578.6,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-08,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,24.2,-3.2,12.9,3.1,,66.0,9.7,0.0,3.7,0.0,579.2,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-09,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,24.6,-2.0,13.8,3.4,,65.0,7.8,5.0,2.5,0.0,579.6,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-10,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,23.6,-1.0,12.9,4.1,,70.0,9.6,2.0,6.2,9.0,579.4,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-11,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,17.6,8.6,12.7,5.0,,83.0,5.1,6.0,24.0,360.0,580.2,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-12,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,20.6,9.6,14.1,2.6,,67.0,6.2,4.0,18.5,45.0,580.6,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-13,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,20.4,2.8,12.5,3.0,,66.0,9.2,1.0,16.0,45.0,579.9,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-14,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,23.4,0.6,13.1,3.2,,74.0,8.2,3.0,4.9,0.0,578.6,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-15,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,20.2,3.0,12.1,2.4,,70.0,9.0,1.0,15.4,45.0,579.5,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-16,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,22.8,1.6,13.4,3.1,,72.0,7.5,3.0,8.6,90.0,578.8,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-17,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,23.8,3.0,14.8,2.3,,56.0,9.4,2.0,12.3,45.0,579.4,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-18,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,21.8,0.4,11.5,3.7,,67.0,9.5,0.0,12.3,45.0,579.9,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-19,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,19.2,5.0,13.6,3.3,,71.0,9.5,1.0,19.1,360.0,580.0,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-20,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,19.2,8.2,14.5,3.9,,72.0,9.7,2.0,15.4,360.0,580.6,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-21,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,22.4,5.2,14.5,5.0,,70.0,8.9,3.0,16.6,360.0,580.5,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-22,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,23.0,6.0,15.9,4.4,,69.0,9.8,0.0,12.3,360.0,579.9,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-23,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,22.4,4.0,14.5,3.9,,73.0,9.3,2.0,2.5,0.0,580.0,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-24,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,23.4,1.4,13.7,3.5,,74.0,8.0,0.0,4.9,0.0,580.0,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-25,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,25.0,8.4,16.7,2.5,,69.0,8.4,3.0,6.2,9.0,580.0,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-26,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,21.4,2.8,12.9,3.2,,69.0,9.2,2.0,13.6,45.0,581.8,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-27,Los Altos,INS090101CV,INSDMCL0901001CONV,0.0,20.6,10.0,15.2,4.0,,61.0,8.2,5.0,22.2,45.0,581.8,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
2026-01-28,Los Altos,INS090101CV,INSDMCL0901001CONV,,,8.4,9.2,3.5,,93.0,,2.0,0.0,0.0,582.3,,,,,14.8599014282,-91.5080718994,2389.0,CLIMATOLOGÍA
