FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-08-06,Mazatenango,INS100101CV,INSDMCL1001001CONV,17.5,32.6,22.0,26.0,,,85.0,,8.0,13.3,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-07,Mazatenango,INS100101CV,INSDMCL1001001CONV,0.0,33.6,21.5,27.1,,,82.0,,8.0,11.0,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-08,Mazatenango,INS100101CV,INSDMCL1001001CONV,11.8,33.4,22.5,27.0,,,83.0,,8.0,12.3,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-09,Mazatenango,INS100101CV,INSDMCL1001001CONV,12.7,33.0,21.5,26.8,,,84.0,,8.0,12.3,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-10,Mazatenango,INS100101CV,INSDMCL1001001CONV,37.5,33.2,21.5,26.5,,,84.0,,8.0,11.7,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-11,Mazatenango,INS100101CV,INSDMCL1001001CONV,18.8,33.6,23.0,27.3,,,82.0,,8.0,11.0,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-12,Mazatenango,INS100101CV,INSDMCL1001001CONV,26.9,33.4,23.0,26.7,,,83.0,,8.0,13.3,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-13,Mazatenango,INS100101CV,INSDMCL1001001CONV,7.5,33.6,20.5,25.7,,,84.0,,8.0,12.7,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-14,Mazatenango,INS100101CV,INSDMCL1001001CONV,5.8,33.8,22.5,28.1,,,81.0,,8.0,10.3,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-15,Mazatenango,INS100101CV,INSDMCL1001001CONV,23.8,33.0,21.5,26.5,,,83.0,,7.0,11.7,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-16,Mazatenango,INS100101CV,INSDMCL1001001CONV,5.6,33.4,21.5,26.6,,,82.0,,8.0,12.3,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-17,Mazatenango,INS100101CV,INSDMCL1001001CONV,12.8,33.4,22.0,27.3,,,81.0,,8.0,11.7,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-18,Mazatenango,INS100101CV,INSDMCL1001001CONV,12.8,33.6,22.0,27.3,,,85.0,,8.0,11.7,225.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-19,Mazatenango,INS100101CV,INSDMCL1001001CONV,29.8,32.8,21.5,26.7,,,79.0,,8.0,12.7,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-20,Mazatenango,INS100101CV,INSDMCL1001001CONV,13.7,33.0,21.0,26.3,,,82.0,,8.0,11.7,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-21,Mazatenango,INS100101CV,INSDMCL1001001CONV,0.0,33.8,22.0,27.7,,,83.0,,8.0,11.0,225.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-22,Mazatenango,INS100101CV,INSDMCL1001001CONV,47.3,33.0,21.5,26.6,,,84.0,,8.0,11.7,9.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-23,Mazatenango,INS100101CV,INSDMCL1001001CONV,0.0,33.4,22.0,27.5,,,78.0,,8.0,11.0,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-24,Mazatenango,INS100101CV,INSDMCL1001001CONV,35.6,33.2,22.5,26.6,,,81.0,,8.0,12.3,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-25,Mazatenango,INS100101CV,INSDMCL1001001CONV,22.1,33.0,21.5,25.8,,,85.0,,8.0,11.7,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-26,Mazatenango,INS100101CV,INSDMCL1001001CONV,0.0,33.8,21.0,27.7,,,80.0,,8.0,11.0,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-27,Mazatenango,INS100101CV,INSDMCL1001001CONV,6.7,33.2,22.0,26.9,,,83.0,,8.0,12.3,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-28,Mazatenango,INS100101CV,INSDMCL1001001CONV,6.5,33.2,22.0,26.4,,,84.0,,8.0,13.3,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-29,Mazatenango,INS100101CV,INSDMCL1001001CONV,0.5,33.4,21.5,26.7,,,81.0,,8.0,12.3,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-30,Mazatenango,INS100101CV,INSDMCL1001001CONV,5.3,33.2,21.5,26.5,,,82.0,,8.0,11.7,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-08-31,Mazatenango,INS100101CV,INSDMCL1001001CONV,25.4,33.2,22.5,26.3,,,85.0,,8.0,11.7,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-09-01,Mazatenango,INS100101CV,INSDMCL1001001CONV,0.7,33.4,21.5,27.4,,,81.0,,8.0,12.3,315.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-09-02,Mazatenango,INS100101CV,INSDMCL1001001CONV,24.5,33.2,21.5,25.7,,,83.0,,8.0,12.3,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-09-03,Mazatenango,INS100101CV,INSDMCL1001001CONV,37.4,33.0,21.5,26.3,,,85.0,,8.0,12.3,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
2025-09-04,Mazatenango,INS100101CV,INSDMCL1001001CONV,16.5,33.6,21.5,26.0,,,83.0,,8.0,11.7,360.0,,,,,,14.5283336639,-91.5027770996,352.0,CLIMATOLOGÍA
