FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-04-16,Morales Met,INS180401AT,INSDMCL1804001CONV,0.0,,,,,,,,3.0,6.0,360.0,,,,,,15.4782114029,-88.8237075806,123.0,CLIMATOLOGÍA
2026-04-17,Morales Met,INS180401AT,INSDMCL1804001CONV,0.0,,,,,,,,2.0,6.7,360.0,,,,,,15.4782114029,-88.8237075806,123.0,CLIMATOLOGÍA
2026-04-18,Morales Met,INS180401AT,INSDMCL1804001CONV,0.0,,,,,,,,1.0,6.3,360.0,,,,,,15.4782114029,-88.8237075806,123.0,CLIMATOLOGÍA
2026-04-19,Morales Met,INS180401AT,INSDMCL1804001CONV,0.0,,,,,,,,5.0,6.0,45.0,,,,,,15.4782114029,-88.8237075806,123.0,CLIMATOLOGÍA
2026-04-20,Morales Met,INS180401AT,INSDMCL1804001CONV,0.0,,,,,,,,4.0,5.3,360.0,,,,,,15.4782114029,-88.8237075806,123.0,CLIMATOLOGÍA
2026-04-21,Morales Met,INS180401AT,INSDMCL1804001CONV,0.0,,,,,,,,6.0,4.7,45.0,,,,,,15.4782114029,-88.8237075806,123.0,CLIMATOLOGÍA
2026-04-22,Morales Met,INS180401AT,INSDMCL1804001CONV,0.0,,,,,,,,2.0,4.7,45.0,,,,,,15.4782114029,-88.8237075806,123.0,CLIMATOLOGÍA
2026-04-23,Morales Met,INS180401AT,INSDMCL1804001CONV,0.0,,,,,,,,3.0,5.3,360.0,,,,,,15.4782114029,-88.8237075806,123.0,CLIMATOLOGÍA
2026-04-24,Morales Met,INS180401AT,INSDMCL1804001CONV,0.0,,,,,,,,0.0,5.7,360.0,,,,,,15.4782114029,-88.8237075806,123.0,CLIMATOLOGÍA
2026-04-25,Morales Met,INS180401AT,INSDMCL1804001CONV,0.0,,,,,,,,0.0,6.0,360.0,,,,,,15.4782114029,-88.8237075806,123.0,CLIMATOLOGÍA
