FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-10-24,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,22.4,11.8,16.1,,0.9,91.0,,7.0,0.7,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-10-25,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,25.8,12.4,18.6,,0.9,83.0,,4.0,5.0,9.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-10-26,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,26.8,12.6,18.8,,1.7,80.0,,3.0,3.3,9.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-10-27,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,24.8,8.2,16.8,,2.0,82.0,,2.0,2.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-10-28,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,25.4,10.4,18.0,,1.9,81.0,,6.0,7.0,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-10-29,Nebaj,INS141301CV,INSDMCL1413001CONV,4.8,23.6,13.4,16.9,,1.5,89.0,,6.0,5.0,9.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-10-30,Nebaj,INS141301CV,INSDMCL1413001CONV,0.2,22.8,11.4,16.1,,1.1,87.0,,6.0,3.0,9.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-10-31,Nebaj,INS141301CV,INSDMCL1413001CONV,0.3,22.0,11.4,15.4,,1.4,88.0,,8.0,0.0,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-01,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,24.2,11.8,16.8,,1.0,85.0,,6.0,2.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-02,Nebaj,INS141301CV,INSDMCL1413001CONV,1.6,23.6,8.0,16.9,,1.0,85.0,,2.0,4.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-03,Nebaj,INS141301CV,INSDMCL1413001CONV,0.2,18.6,10.6,13.9,,1.3,92.0,,8.0,1.3,9.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-04,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,21.2,10.9,15.1,,0.3,84.0,,8.0,2.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-05,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,21.6,8.0,15.0,,1.1,92.0,,7.0,0.7,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-06,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,23.6,11.2,16.9,,0.9,79.0,,6.0,0.0,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-07,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,27.4,8.0,16.7,,1.8,85.0,,4.0,0.0,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-08,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,26.2,8.4,17.3,,1.6,83.0,,2.0,7.0,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-09,Nebaj,INS141301CV,INSDMCL1413001CONV,12.2,27.0,8.6,17.3,,1.3,81.0,,3.0,1.3,360.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-10,Nebaj,INS141301CV,INSDMCL1413001CONV,18.6,18.2,12.4,14.7,,2.0,95.0,,8.0,2.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-11,Nebaj,INS141301CV,INSDMCL1413001CONV,0.2,15.4,8.2,10.9,,0.6,92.0,,8.0,11.3,9.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-12,Nebaj,INS141301CV,INSDMCL1413001CONV,1.7,20.4,6.0,13.9,,0.6,88.0,,6.0,0.0,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-13,Nebaj,INS141301CV,INSDMCL1413001CONV,3.7,22.2,7.0,15.5,,0.8,89.0,,7.0,3.0,9.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-14,Nebaj,INS141301CV,INSDMCL1413001CONV,6.7,18.4,12.0,14.8,,0.9,95.0,,8.0,0.7,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-15,Nebaj,INS141301CV,INSDMCL1413001CONV,1.5,22.4,12.6,15.9,,0.1,94.0,,8.0,4.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-16,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,24.8,9.4,16.7,,0.5,90.0,,4.0,0.7,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-17,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,24.4,10.0,17.9,,1.1,90.0,,6.0,2.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-18,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,26.4,10.4,17.8,,1.3,86.0,,3.0,4.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-19,Nebaj,INS141301CV,INSDMCL1413001CONV,1.8,27.8,13.4,15.7,,1.8,93.0,,8.0,2.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-20,Nebaj,INS141301CV,INSDMCL1413001CONV,0.0,22.6,7.4,14.5,,0.8,85.0,,4.0,4.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-21,Nebaj,INS141301CV,INSDMCL1413001CONV,0.3,25.4,7.4,16.1,,1.2,82.0,,3.0,2.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-22,Nebaj,INS141301CV,INSDMCL1413001CONV,0.7,21.0,6.0,14.1,,2.0,86.0,,7.0,2.3,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-23,Nebaj,INS141301CV,INSDMCL1413001CONV,2.1,21.4,11.0,15.3,,1.0,86.0,,8.0,0.7,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
2025-11-24,Nebaj,INS141301CV,INSDMCL1413001CONV,,,8.6,10.4,,1.4,100.0,,0.0,0.0,0.0,,,,,,15.3992471695,-91.1420822144,1906.0,CLIMATOLOGÍA
