FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-09-17,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,35.3,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-18,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,7.4,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-19,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,1.5,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-20,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,10.2,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-21,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,18.2,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-22,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,5.6,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-23,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,5.2,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-24,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,0.2,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-25,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,0.0,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-26,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,8.3,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-27,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,11.6,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-28,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,9.8,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-29,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,6.5,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-09-30,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,7.3,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-10-01,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,4.1,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-10-02,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,0.0,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-10-03,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,6.5,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-10-04,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,12.1,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-10-05,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,11.7,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-10-06,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,8.3,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-10-07,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,1.1,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-10-08,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,0.0,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-10-09,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,15.0,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
2025-10-10,Nueva Concepción,INS090901AT,INSDMCL0909001CONV,0.7,,,,,,,,,,,,,,,,14.8675079346,-91.6829986572,2877.0,CLIMATOLOGÍA
