FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-12-04,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-05,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-06,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-07,Pachuté,INS090401AT,INSDMCL0904001CONV,3.8,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-08,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-09,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-10,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-11,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-12,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-13,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-14,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-15,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-16,Pachuté,INS090401AT,INSDMCL0904001CONV,0.0,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-17,Pachuté,INS090401AT,INSDMCL0904001CONV,24.5,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
2025-12-18,Pachuté,INS090401AT,INSDMCL0904001CONV,2.5,,,,,,,,,,,,,,,,14.9834098816,-91.5736465454,2682.0,CLIMATOLOGÍA
