FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-08-24,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,5.8,38.6,22.6,29.5,,,85.0,,6.0,4.7,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-08-25,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,13.4,36.6,21.8,28.2,,,86.0,,6.0,7.0,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-08-26,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,29.2,37.8,22.2,29.5,,,86.0,,6.0,4.7,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-08-27,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,17.6,36.2,21.6,28.7,,,87.0,,6.0,9.0,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-08-28,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,31.8,37.8,22.4,29.2,,,85.0,,5.0,6.7,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-08-29,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,35.6,36.4,21.4,28.8,,,86.0,,6.0,11.3,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-08-30,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,0.0,36.2,21.8,28.4,,,87.0,,7.0,7.0,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-08-31,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,0.0,37.4,22.6,29.5,,,85.0,,5.0,7.0,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-09-01,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,0.0,37.8,22.4,29.6,,,84.0,,5.0,4.7,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-09-02,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,1.4,38.2,22.6,29.4,,,85.0,,5.0,4.7,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-09-03,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,4.6,37.6,21.4,28.6,,,86.0,,6.0,4.7,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-09-04,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,0.0,36.8,22.2,28.9,,,87.0,,5.0,4.7,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-09-05,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,0.0,37.6,22.6,29.5,,,85.0,,5.0,4.7,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-09-06,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,0.8,38.2,22.8,29.5,,,85.0,,5.0,4.7,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-09-07,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,3.6,37.4,22.6,29.2,,,86.0,,6.0,9.0,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-09-08,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,19.8,37.2,22.4,29.0,,,86.0,,5.0,4.7,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
2025-09-09,Panzos PHC Altaverapaz,INS160701CV,INSDMCL1607001CONV,36.4,36.6,21.6,28.5,,,87.0,,6.0,9.0,180.0,,,,,,15.3973999023,-89.6439666748,33.0,CLIMATOLOGÍA
