FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-02-09,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,30.8,14.0,22.9,,3.0,69.0,,4.0,7.0,9.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-10,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,31.0,13.4,23.9,,3.5,67.0,,1.0,4.7,90.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-11,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,31.0,17.2,25.1,,3.5,67.0,,3.0,4.3,45.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-12,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,30.8,15.2,24.8,,4.0,69.0,,3.0,3.7,45.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-13,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,30.8,17.2,26.4,,4.0,70.0,,3.0,6.0,9.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-14,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,32.6,20.6,27.0,,3.5,60.0,,3.0,4.3,90.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-15,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,33.6,18.2,27.0,,4.0,64.0,,0.0,4.3,45.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-16,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,33.4,18.2,27.4,,5.0,67.0,,3.0,4.7,9.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-17,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,33.0,18.0,26.4,,4.0,64.0,,5.0,5.3,90.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-18,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,34.4,17.4,26.9,,4.0,62.0,,3.0,4.0,45.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-19,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,36.4,16.2,29.3,,4.0,63.0,,1.0,2.7,45.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-20,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,36.6,18.8,28.6,,4.5,55.0,,0.0,3.0,45.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-21,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,36.2,18.0,28.9,,5.0,61.0,,1.0,6.3,360.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-22,Pasabien,INS190301CV,INSDMCL1903001CONV,0.7,36.6,18.2,28.7,,5.0,63.0,,6.0,8.0,315.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-23,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,28.6,20.8,24.4,,5.0,77.0,,7.0,7.0,360.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-24,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,27.6,16.4,22.6,,3.0,67.0,,4.0,8.0,9.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-25,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,31.2,15.8,24.8,,3.5,72.0,,2.0,3.3,45.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
2026-02-26,Pasabien,INS190301CV,INSDMCL1903001CONV,0.0,37.0,16.0,28.1,,3.0,64.0,,1.0,3.7,45.0,,,,,,15.0302219391,-89.6792526245,260.0,CLIMATOLOGÍA
