FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-07-16,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,0.0,,,,,,,,1.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-17,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,0.0,,,,,,,,6.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-18,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,11.3,,,,,,,,6.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-19,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,0.0,,,,,,,,6.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-20,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,15.0,,,,,,,,5.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-21,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,0.0,,,,,,,,6.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-22,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,0.0,,,,,,,,5.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-23,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,23.6,,,,,,,,3.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-24,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,0.0,,,,,,,,6.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-25,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,2.9,,,,,,,,6.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-26,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,24.2,,,,,,,,6.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-27,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,15.0,,,,,,,,7.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-28,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,19.5,,,,,,,,6.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-29,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,34.9,,,,,,,,7.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-30,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,18.7,,,,,,,,5.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-07-31,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,2.5,,,,,,,,6.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-08-01,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,0.0,,,,,,,,6.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
2025-08-02,Playa Grande Met (Ixcan),INS142201AT,INSDMCL1422001CONV,0.0,,,,,,,,6.0,,,,,,,,15.9888801575,-90.7401733398,186.0,CLIMATOLOGÍA
