FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-02-28,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,31.8,18.0,26.2,,,75.0,,2.0,7.4,360.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-01,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,30.0,17.6,23.7,,,83.0,,8.0,7.4,9.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-02,Poptún,INS171201CV,INSDMCL1712001CONV,4.0,28.4,17.0,22.9,,,86.0,,3.0,6.2,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-03,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,29.6,15.0,23.5,,,87.0,,1.0,4.9,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-04,Poptún,INS171201CV,INSDMCL1712001CONV,3.3,26.6,16.4,22.5,,,91.0,,6.0,4.9,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-05,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,27.8,19.0,23.7,,,91.0,,6.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-06,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,29.4,20.0,24.7,,,86.0,,4.0,6.2,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-07,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,30.0,21.6,26.0,,,85.0,,5.0,9.9,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-08,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,29.6,20.0,25.1,,,87.0,,3.0,8.6,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-09,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,29.5,18.8,25.0,,,78.0,,2.0,9.9,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-10,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,29.4,18.4,24.9,,,82.0,,4.0,11.1,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-11,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,25.0,21.0,26.5,,,84.0,,4.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-12,Poptún,INS171201CV,INSDMCL1712001CONV,10.5,30.6,20.0,25.3,,,79.0,,5.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-13,Poptún,INS171201CV,INSDMCL1712001CONV,9.1,28.4,20.4,23.9,,,91.0,,8.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-14,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,30.0,18.6,25.7,,,77.0,,3.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-15,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,31.0,21.0,27.5,,,76.0,,4.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-16,Poptún,INS171201CV,INSDMCL1712001CONV,0.7,33.8,20.6,28.6,,,84.0,,2.0,8.6,135.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-17,Poptún,INS171201CV,INSDMCL1712001CONV,18.3,30.4,20.4,20.7,,,95.0,,8.0,8.6,270.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-18,Poptún,INS171201CV,INSDMCL1712001CONV,1.4,26.8,18.0,23.0,,,93.0,,6.0,4.9,9.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-19,Poptún,INS171201CV,INSDMCL1712001CONV,4.4,24.6,19.0,21.1,,,90.0,,7.0,7.4,45.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-20,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,24.6,17.0,21.2,,,87.0,,5.0,8.6,270.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-21,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,26.4,13.4,20.8,,,90.0,,4.0,4.9,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-22,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,26.8,18.5,22.1,,,85.0,,2.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-23,Poptún,INS171201CV,INSDMCL1712001CONV,0.7,28.0,19.0,24.0,,,84.0,,4.0,7.4,180.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-24,Poptún,INS171201CV,INSDMCL1712001CONV,0.0,29.4,15.6,23.3,,,80.0,,4.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-25,Poptún,INS171201CV,INSDMCL1712001CONV,0.1,27.4,15.6,22.5,,,84.0,,6.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-26,Poptún,INS171201CV,INSDMCL1712001CONV,1.0,24.6,19.0,21.5,,,90.0,,8.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-27,Poptún,INS171201CV,INSDMCL1712001CONV,0.7,26.0,17.8,21.9,,,87.0,,8.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
2026-03-28,Poptún,INS171201CV,INSDMCL1712001CONV,,,19.0,19.6,,,95.0,,8.0,7.4,90.0,,,,,,16.3256607056,-89.4104309082,479.0,CLIMATOLOGÍA
