FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-12-04,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,25.2,13.2,19.5,,,80.0,,5.0,2.3,360.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-05,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,22.6,9.4,16.1,,,84.0,,7.0,5.7,360.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-06,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,25.2,8.4,17.7,,,78.0,,5.0,2.3,180.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-07,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,24.6,9.2,18.0,,,84.0,,5.0,3.7,45.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-08,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,24.2,12.6,19.3,,,85.0,,5.0,5.0,180.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-09,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,25.6,10.2,18.5,,,80.0,,7.0,3.7,135.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-10,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,2.7,24.4,9.6,16.6,,,88.0,,6.0,7.0,9.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-11,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,1.3,20.6,14.6,16.2,,,94.0,,8.0,7.0,135.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-12,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,25.2,12.0,18.7,,,87.0,,7.0,3.7,180.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-13,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,22.4,11.2,17.1,,,88.0,,7.0,3.7,135.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-14,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,4.6,22.6,10.0,15.4,,,94.0,,8.0,2.3,225.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-15,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,1.2,22.6,14.0,17.0,,,85.0,,7.0,2.3,180.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-16,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,21.2,10.2,16.0,,,97.0,,7.0,3.7,45.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-17,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,22.6,9.6,16.3,,,85.0,,6.0,5.7,180.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-18,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,5.9,21.4,11.4,15.8,,,94.0,,7.0,3.7,360.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-19,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,22.2,9.2,16.1,,,89.0,,7.0,3.7,90.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-20,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,23.2,11.6,17.1,,,79.0,,7.0,8.3,45.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-21,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,1.3,19.2,11.6,15.9,,,88.0,,7.0,3.7,9.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-22,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,7.6,17.2,10.2,14.2,,,99.0,,8.0,7.0,180.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-23,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.4,20.2,11.4,16.5,,,95.0,,7.0,5.0,225.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
2025-12-24,Potrero Carrillo,INS210101CV,INSDMCL2101001CONV,0.0,19.6,13.2,15.7,,,93.0,,7.0,7.0,45.0,,,,,,14.7499599457,-89.9336700439,1760.0,CLIMATOLOGÍA
