FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-04-11,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.4,31.8,22.6,27.4,5.2,,80.0,9.3,5.0,0.0,0.0,759.2,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-12,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,1.0,30.6,21.8,26.6,3.6,,80.0,5.9,6.0,6.0,90.0,759.4,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-13,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,1.8,30.6,22.0,26.8,4.3,,78.0,8.9,5.0,12.3,90.0,759.5,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-14,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.9,30.4,21.8,26.7,5.8,,80.0,9.1,7.0,12.3,9.0,758.4,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-15,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.8,31.2,21.0,26.7,4.2,,74.0,10.5,3.0,8.7,9.0,757.7,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-16,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,31.6,19.0,27.1,3.7,,76.0,9.5,6.0,10.0,45.0,757.8,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-17,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,32.0,21.2,26.9,6.1,,79.0,10.4,4.0,9.7,9.0,757.1,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-18,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.8,32.6,21.8,28.1,5.3,,77.0,11.1,3.0,11.0,9.0,755.8,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-19,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,31.4,24.0,27.8,6.5,,80.0,3.5,7.0,11.0,360.0,757.4,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-21,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,4.2,32.0,22.0,27.6,5.7,,78.0,9.1,5.0,8.7,9.0,759.4,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-22,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.3,32.4,22.6,28.1,6.2,,75.0,10.6,6.0,5.0,0.0,757.9,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-23,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,33.2,22.8,28.6,2.6,,74.0,11.0,4.0,11.0,9.0,755.9,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-24,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,33.6,22.6,28.7,6.3,,79.0,11.3,2.0,6.0,0.0,754.0,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-25,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,34.2,24.2,29.6,7.9,,79.0,10.5,3.0,11.0,9.0,753.3,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-26,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,34.4,24.6,30.2,6.6,,77.0,11.0,3.0,9.7,9.0,753.8,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-27,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,34.4,24.4,29.6,6.9,,78.0,10.7,5.0,12.3,9.0,755.9,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-28,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,33.4,23.8,28.7,4.6,,78.0,10.8,3.0,11.0,45.0,757.2,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-29,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,33.2,23.0,28.5,5.4,,78.0,10.7,5.0,12.3,9.0,756.2,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-04-30,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,33.6,23.6,28.7,3.6,,81.0,10.7,4.0,9.7,9.0,754.3,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-05-01,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,35.8,23.8,30.1,3.4,,80.0,10.9,2.0,11.0,9.0,753.2,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-05-02,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,37.4,24.6,31.8,5.6,,72.0,11.7,4.0,7.0,9.0,753.5,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-05-03,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.4,35.6,26.4,30.7,9.2,,72.0,9.2,6.0,13.3,360.0,756.8,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-05-04,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,4.0,34.8,25.6,30.3,5.2,,78.0,8.2,7.0,10.0,9.0,756.6,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-05-05,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,34.4,24.4,29.7,6.4,,132.0,10.7,5.0,5.0,0.0,755.8,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
2026-05-06,Puerto Barrios PHC,INS180101CV,INSDMCL1801001CONV,0.0,34.0,25.0,30.1,7.6,,78.0,8.5,4.0,11.0,45.0,755.9,,,,,15.7301607132,-88.5843963623,2.0,CLIMATOLOGÍA
