FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-09-08,Quezada,INS221701CV,INSDMCL2217001CONV,8.8,28.6,19.0,23.0,,,,,7.0,3.3,360.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-09,Quezada,INS221701CV,INSDMCL2217001CONV,17.4,25.4,17.6,21.4,,,,,8.0,1.7,135.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-10,Quezada,INS221701CV,INSDMCL2217001CONV,2.4,28.4,17.4,22.8,,,,,5.0,2.3,45.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-11,Quezada,INS221701CV,INSDMCL2217001CONV,0.0,28.6,18.0,22.9,,,,,7.0,2.3,360.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-12,Quezada,INS221701CV,INSDMCL2217001CONV,9.8,29.0,19.2,23.4,,,,,7.0,2.3,360.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-13,Quezada,INS221701CV,INSDMCL2217001CONV,4.4,26.2,19.0,20.9,,,,,7.0,2.3,360.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-14,Quezada,INS221701CV,INSDMCL2217001CONV,59.6,26.8,18.0,21.9,,,,,8.0,2.3,360.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-15,Quezada,INS221701CV,INSDMCL2217001CONV,1.4,25.0,18.0,21.0,,,,,8.0,2.3,270.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-16,Quezada,INS221701CV,INSDMCL2217001CONV,4.2,26.8,17.4,22.3,,,,,6.0,3.7,360.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-17,Quezada,INS221701CV,INSDMCL2217001CONV,1.6,27.8,18.8,22.8,,,,,6.0,3.0,360.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-18,Quezada,INS221701CV,INSDMCL2217001CONV,2.4,28.0,19.0,23.0,,,,,6.0,1.3,360.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-19,Quezada,INS221701CV,INSDMCL2217001CONV,4.3,26.4,19.0,21.7,,,,,8.0,3.3,315.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-20,Quezada,INS221701CV,INSDMCL2217001CONV,1.9,25.8,19.2,21.3,,,,,8.0,1.7,360.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
2025-09-21,Quezada,INS221701CV,INSDMCL2217001CONV,6.1,29.2,18.4,22.9,,,,,7.0,0.7,360.0,,,,,,14.2328519821,-90.0361785889,980.0,CLIMATOLOGÍA
