FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-01-24,Retalhuleu Aeropuerto,INS110101CV,INSDMCL1101001CONV,0.0,34.0,21.4,28.0,,,58.0,,3.0,11.1,9.0,741.4,,,,,14.5248603821,-91.6940689087,205.0,CLIMATOLOGÍA
2026-01-25,Retalhuleu Aeropuerto,INS110101CV,INSDMCL1101001CONV,0.0,34.0,21.8,28.0,,,62.0,,3.0,7.4,225.0,741.8,,,,,14.5248603821,-91.6940689087,205.0,CLIMATOLOGÍA
2026-01-26,Retalhuleu Aeropuerto,INS110101CV,INSDMCL1101001CONV,0.0,34.0,21.0,28.3,,,66.0,,1.0,6.2,9.0,742.7,,,,,14.5248603821,-91.6940689087,205.0,CLIMATOLOGÍA
2026-01-27,Retalhuleu Aeropuerto,INS110101CV,INSDMCL1101001CONV,0.0,34.0,21.0,28.1,,,62.0,,3.0,7.4,270.0,742.5,,,,,14.5248603821,-91.6940689087,205.0,CLIMATOLOGÍA
2026-01-28,Retalhuleu Aeropuerto,INS110101CV,INSDMCL1101001CONV,0.0,34.0,22.0,28.5,,,65.0,,3.0,11.1,270.0,742.7,,,,,14.5248603821,-91.6940689087,205.0,CLIMATOLOGÍA
2026-01-29,Retalhuleu Aeropuerto,INS110101CV,INSDMCL1101001CONV,0.0,34.0,22.0,27.9,,,67.0,,2.0,8.6,225.0,741.4,,,,,14.5248603821,-91.6940689087,205.0,CLIMATOLOGÍA
2026-01-30,Retalhuleu Aeropuerto,INS110101CV,INSDMCL1101001CONV,0.6,33.0,22.4,27.3,,,72.0,,4.0,6.2,270.0,741.5,,,,,14.5248603821,-91.6940689087,205.0,CLIMATOLOGÍA
2026-01-31,Retalhuleu Aeropuerto,INS110101CV,INSDMCL1101001CONV,0.0,33.0,20.0,27.0,,,64.0,,2.0,9.9,225.0,742.5,,,,,14.5248603821,-91.6940689087,205.0,CLIMATOLOGÍA
2026-02-01,Retalhuleu Aeropuerto,INS110101CV,INSDMCL1101001CONV,0.0,33.0,20.0,26.2,,,69.0,,4.0,9.9,270.0,743.4,,,,,14.5248603821,-91.6940689087,205.0,CLIMATOLOGÍA
2026-02-02,Retalhuleu Aeropuerto,INS110101CV,INSDMCL1101001CONV,0.4,32.6,20.0,25.9,,,64.0,,5.0,11.1,225.0,743.8,,,,,14.5248603821,-91.6940689087,205.0,CLIMATOLOGÍA
