FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-09-09,Sabana Grande,INS050101CV,INSDMCL0501001CONV,7.2,28.8,18.6,22.9,4.5,,96.0,,6.0,2.0,9.0,,,,,,14.3737726212,-90.8305358887,730.0,CLIMATOLOGÍA
2025-09-10,Sabana Grande,INS050101CV,INSDMCL0501001CONV,71.9,29.8,18.4,23.9,1.0,,90.0,,7.0,2.0,9.0,,,,,,14.3737726212,-90.8305358887,730.0,CLIMATOLOGÍA
2025-09-11,Sabana Grande,INS050101CV,INSDMCL0501001CONV,28.6,30.4,18.2,24.0,,,90.0,,8.0,2.0,270.0,,,,,,14.3737726212,-90.8305358887,730.0,CLIMATOLOGÍA
2025-09-12,Sabana Grande,INS050101CV,INSDMCL0501001CONV,1.8,31.2,19.4,24.6,4.5,,85.0,,7.0,2.0,315.0,,,,,,14.3737726212,-90.8305358887,730.0,CLIMATOLOGÍA
2025-09-13,Sabana Grande,INS050101CV,INSDMCL0501001CONV,38.6,30.4,18.2,23.5,2.6,,89.0,,6.0,2.0,9.0,,,,,,14.3737726212,-90.8305358887,730.0,CLIMATOLOGÍA
2025-09-14,Sabana Grande,INS050101CV,INSDMCL0501001CONV,31.8,30.2,18.6,22.5,5.0,,97.0,,8.0,2.7,315.0,,,,,,14.3737726212,-90.8305358887,730.0,CLIMATOLOGÍA
2025-09-15,Sabana Grande,INS050101CV,INSDMCL0501001CONV,2.0,30.0,18.2,23.3,2.9,,93.0,,8.0,1.3,0.0,,,,,,14.3737726212,-90.8305358887,730.0,CLIMATOLOGÍA
2025-09-16,Sabana Grande,INS050101CV,INSDMCL0501001CONV,19.4,31.2,18.6,23.9,2.7,,88.0,,5.0,1.3,270.0,,,,,,14.3737726212,-90.8305358887,730.0,CLIMATOLOGÍA
2025-09-17,Sabana Grande,INS050101CV,INSDMCL0501001CONV,44.3,29.4,18.2,23.2,3.6,,91.0,,7.0,2.0,9.0,,,,,,14.3737726212,-90.8305358887,730.0,CLIMATOLOGÍA
2025-09-18,Sabana Grande,INS050101CV,INSDMCL0501001CONV,76.5,29.4,19.2,23.9,3.6,,91.0,,7.0,2.7,315.0,,,,,,14.3737726212,-90.8305358887,730.0,CLIMATOLOGÍA
2025-09-19,Sabana Grande,INS050101CV,INSDMCL0501001CONV,93.5,29.2,18.0,23.5,,,91.0,,8.0,2.7,270.0,,,,,,14.3737726212,-90.8305358887,730.0,CLIMATOLOGÍA
