FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-04-08,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.0,32.0,15.1,23.9,,,83.0,9.0,1.0,17.3,135.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
2026-04-09,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.0,32.5,17.2,24.9,,,86.0,7.3,5.0,8.3,90.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
2026-04-10,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.0,31.0,15.0,23.4,,,90.0,10.0,2.0,13.3,135.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
2026-04-11,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.0,30.6,13.8,23.1,,,85.0,9.0,1.0,8.3,135.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
2026-04-12,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.0,29.0,11.9,21.1,,,90.0,9.6,3.0,19.3,135.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
2026-04-13,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.0,28.8,12.0,21.4,,,92.0,9.2,4.0,18.0,135.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
2026-04-14,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.0,30.0,17.7,23.8,,,80.0,11.0,1.0,5.3,90.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
2026-04-15,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.0,31.2,17.0,23.1,,,86.0,11.0,1.0,17.3,90.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
2026-04-16,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.0,31.4,12.5,22.4,,,86.0,11.0,1.0,14.7,90.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
2026-04-17,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.0,32.9,13.5,23.5,,,81.0,11.3,1.0,13.0,90.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
2026-04-18,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.0,34.8,13.6,24.7,,,86.0,10.9,1.0,13.7,90.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
2026-04-19,San Jerónimo R.H.,INS150701CV,INSDMCL1507001CONV,0.3,32.3,19.0,25.6,,,90.0,6.1,5.0,7.0,90.0,,,,,,15.0609025955,-90.2522125244,1000.0,CLIMATOLOGÍA
