FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-07-09,San José Pinula,INS010301AT,INSDMCL0103001CONV,0.0,,,,,,,,1.0,25.3,180.0,,,,,,14.5239200592,-90.3919067383,1744.0,CLIMATOLOGÍA
2025-07-10,San José Pinula,INS010301AT,INSDMCL0103001CONV,0.0,,,,,,,,2.0,22.7,180.0,,,,,,14.5239200592,-90.3919067383,1744.0,CLIMATOLOGÍA
2025-07-11,San José Pinula,INS010301AT,INSDMCL0103001CONV,0.0,,,,,,,,4.0,20.0,225.0,,,,,,14.5239200592,-90.3919067383,1744.0,CLIMATOLOGÍA
2025-07-12,San José Pinula,INS010301AT,INSDMCL0103001CONV,0.0,,,,,,,,4.0,22.7,180.0,,,,,,14.5239200592,-90.3919067383,1744.0,CLIMATOLOGÍA
2025-07-13,San José Pinula,INS010301AT,INSDMCL0103001CONV,1.7,,,,,,,,2.0,25.3,225.0,,,,,,14.5239200592,-90.3919067383,1744.0,CLIMATOLOGÍA
2025-07-14,San José Pinula,INS010301AT,INSDMCL0103001CONV,0.0,,,,,,,,3.0,20.0,225.0,,,,,,14.5239200592,-90.3919067383,1744.0,CLIMATOLOGÍA
2025-07-15,San José Pinula,INS010301AT,INSDMCL0103001CONV,0.0,,,,,,,,1.0,20.3,180.0,,,,,,14.5239200592,-90.3919067383,1744.0,CLIMATOLOGÍA
2025-07-16,San José Pinula,INS010301AT,INSDMCL0103001CONV,0.0,,,,,,,,1.0,28.0,180.0,,,,,,14.5239200592,-90.3919067383,1744.0,CLIMATOLOGÍA
2025-07-17,San José Pinula,INS010301AT,INSDMCL0103001CONV,0.0,,,,,,,,1.0,22.7,180.0,,,,,,14.5239200592,-90.3919067383,1744.0,CLIMATOLOGÍA
2025-07-18,San José Pinula,INS010301AT,INSDMCL0103001CONV,0.0,,,,,,,,1.0,25.3,225.0,,,,,,14.5239200592,-90.3919067383,1744.0,CLIMATOLOGÍA
2025-07-19,San José Pinula,INS010301AT,INSDMCL0103001CONV,0.0,,,,,,,,2.0,30.3,180.0,,,,,,14.5239200592,-90.3919067383,1744.0,CLIMATOLOGÍA
