FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-10-19,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,4.6,20.4,9.2,13.8,1.2,,91.0,5.8,3.0,0.0,0.0,,,16.9,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-20,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,15.6,,9.0,11.0,3.2,,93.0,,8.0,0.0,0.0,,,11.4,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-21,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,13.5,20.4,10.0,14.6,2.6,,83.0,4.8,3.0,0.0,0.0,,,16.2,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-22,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,0.0,20.2,8.0,14.5,1.9,,74.0,9.0,8.0,0.0,0.0,,,17.1,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-23,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,0.0,20.4,8.2,15.1,4.0,,77.0,7.7,5.0,1.3,0.0,,,16.4,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-24,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,0.0,20.4,9.2,14.9,3.2,,76.0,5.3,5.0,0.0,0.0,,,16.5,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-25,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,0.0,21.2,8.4,14.6,3.2,,70.0,8.1,5.0,0.0,0.0,,,16.1,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-26,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,0.0,22.0,9.0,14.1,3.2,,86.0,8.3,5.0,0.7,0.0,,,17.5,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-27,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,0.0,21.4,8.0,15.4,4.0,,78.0,9.0,5.0,0.7,0.0,,,16.7,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-28,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,0.0,19.4,7.2,13.1,3.0,,84.0,5.9,3.0,0.0,0.0,,,16.9,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-29,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,7.5,20.4,10.0,14.6,3.3,,87.0,6.6,5.0,0.7,0.0,,,16.3,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-30,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,0.0,21.0,10.0,15.1,1.4,,72.0,6.0,5.0,0.7,0.0,,,17.1,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-10-31,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,0.6,18.4,8.0,13.1,3.0,,88.0,4.9,3.0,0.0,0.0,,,14.6,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
2025-11-01,San Marcos PHC,INS120101CV,INSDMCL1201001CONV,0.0,20.0,8.2,13.3,2.1,,90.0,5.6,3.0,0.0,0.0,,,17.3,,,14.9671497345,-91.8233337402,2420.0,CLIMATOLOGÍA
