FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-10-25,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,4.0,3.0,90.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-10-26,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,4.0,2.7,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-10-27,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,8.0,4.3,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-10-28,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,3.0,3.3,45.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-10-29,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,5.0,3.0,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-10-30,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,4.0,4.3,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-10-31,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,4.0,3.0,90.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-01,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,8.0,4.0,135.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-02,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,7.0,2.7,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-03,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,7.0,4.7,90.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-04,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,7.0,3.7,135.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-05,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,5.0,3.0,90.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-06,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,7.0,2.7,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-07,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,7.0,2.0,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-08,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,4.0,3.7,45.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-09,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,4.0,3.7,135.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-10,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,1.2,,,,,,,,8.0,3.0,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-11,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,8.0,6.0,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-12,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.1,,,,,,,,5.0,2.7,45.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-13,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,7.0,4.0,135.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-14,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,5.0,2.7,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-15,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.2,,,,,,,,4.0,2.7,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-16,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,1.0,,,,,,,,7.0,3.3,45.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-17,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,7.0,3.0,90.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-18,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,5.7,,,,,,,,4.0,2.7,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-19,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,1.2,,,,,,,,8.0,3.0,90.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-20,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,7.0,2.7,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-21,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,5.0,3.7,45.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-22,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,7.0,4.7,90.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-23,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,0.0,,,,,,,,3.0,3.0,9.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
2025-11-24,San Pedro Ayampuc,INS010701AT,INSDMCL0107001CONV,,,,,,,,,4.0,3.7,135.0,,,,,,14.783416748,-90.450012207,1269.0,CLIMATOLOGÍA
