FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-07-10,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.3,26.8,7.6,20.2,,1.0,90.0,,4.0,5.3,0.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-11,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,7.3,23.0,9.2,18.7,,1.4,93.0,,8.0,9.0,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-12,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,3.1,26.4,8.8,19.5,,1.0,93.0,,4.0,4.3,0.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-13,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,7.9,26.0,7.8,19.1,,0.8,94.0,,5.0,4.7,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-14,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.0,26.4,9.0,20.9,,0.6,91.0,,4.0,9.0,360.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-15,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.0,28.8,8.8,21.7,,1.9,78.0,,2.0,7.0,9.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-16,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.0,27.6,7.2,20.6,,3.4,74.0,,1.0,10.0,360.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-17,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.0,27.6,7.0,21.1,,3.9,76.0,,1.0,7.7,9.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-18,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,1.4,28.0,7.4,19.1,,3.0,86.0,,3.0,9.0,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-19,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.0,28.4,9.4,21.7,,2.4,78.0,,4.0,10.0,360.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-20,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.0,27.0,10.0,21.1,,3.0,77.0,,3.0,9.0,360.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-21,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,2.6,26.6,8.4,21.1,,2.7,78.0,,4.0,9.0,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-22,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,2.4,26.6,8.4,19.2,,3.2,90.0,,3.0,9.0,360.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-23,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.0,26.8,8.8,20.9,,2.7,84.0,,3.0,9.0,90.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-24,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,2.6,26.2,9.2,20.1,,2.9,90.0,,5.0,9.0,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-25,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,6.9,26.6,8.4,19.3,,2.3,89.0,,4.0,9.0,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-26,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,1.5,25.6,8.0,19.1,,2.0,90.0,,6.0,6.7,9.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-27,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,3.5,24.4,8.4,18.8,,1.8,96.0,,8.0,4.7,9.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-28,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.0,24.6,8.0,19.8,,1.4,89.0,,6.0,7.0,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-29,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,1.5,24.4,7.8,18.8,,1.6,90.0,,7.0,9.0,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-30,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,1.4,25.2,9.0,19.4,,1.3,95.0,,7.0,9.0,9.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-07-31,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,4.1,24.2,8.4,18.9,,1.1,95.0,,6.0,9.0,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-08-01,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.0,26.8,8.0,20.1,,1.0,86.0,,3.0,9.0,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-08-02,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,12.3,26.4,7.8,18.7,,2.3,94.0,,5.0,9.0,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-08-03,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.6,25.0,7.2,19.1,,1.8,87.0,,4.0,6.7,9.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-08-04,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,3.2,27.0,8.4,20.4,,1.6,85.0,,5.0,9.0,180.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-08-05,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,5.1,25.2,9.0,19.4,,2.0,91.0,,8.0,7.0,360.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-08-06,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,0.1,26.8,9.6,20.5,,2.7,82.0,,5.0,9.0,360.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-08-07,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,14.2,26.0,9.8,20.1,,2.9,85.0,,6.0,9.0,360.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-08-08,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,1.4,26.2,8.5,19.1,,2.3,89.0,,5.0,9.0,360.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-08-09,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,10.8,27.0,9.0,20.3,,2.0,88.0,,4.0,9.0,360.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
2025-08-10,San Pedro Necta,INS130601CV,INSDMCL1306001CONV,,,8.6,15.4,,2.3,100.0,,1.0,7.0,45.0,,,,,,15.4945898056,-91.7624435425,1641.0,CLIMATOLOGÍA
