FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-12-22,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,1.1,,,,,,,,6.0,11.3,270.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2025-12-23,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.0,,,,,,,,8.0,15.7,270.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2025-12-24,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.0,,,,,,,,8.0,11.0,270.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2025-12-25,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.0,,,,,,,,8.0,7.0,270.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2025-12-26,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.0,,,,,,,,8.0,11.0,270.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2025-12-27,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.0,,,,,,,,8.0,9.0,270.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2025-12-28,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.0,,,,,,,,6.0,9.0,270.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2025-12-29,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.0,,,,,,,,6.0,13.3,270.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2025-12-30,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.4,,,,,,,,5.0,11.0,9.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2025-12-31,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.0,,,,,,,,7.0,9.0,270.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2026-01-01,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.0,,,,,,,,5.0,11.3,270.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2026-01-02,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.0,,,,,,,,3.0,11.0,270.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2026-01-03,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,0.0,,,,,,,,3.0,9.0,90.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
2026-01-04,Santa Cruz Quiché,INS140101AT,INSDMCL1401001CONV,,,,,,,,,2.0,9.0,180.0,,,,,,15.050160408,-91.1539535522,2082.0,CLIMATOLOGÍA
