FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-06-11,Santa Margarita,INS040801AT,INSDMCL0408001CONV,33.0,,,,,,,,5.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-12,Santa Margarita,INS040801AT,INSDMCL0408001CONV,38.4,,,,,,,,6.0,2.0,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-13,Santa Margarita,INS040801AT,INSDMCL0408001CONV,28.5,,,,,,,,8.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-14,Santa Margarita,INS040801AT,INSDMCL0408001CONV,2.1,,,,,,,,3.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-15,Santa Margarita,INS040801AT,INSDMCL0408001CONV,3.2,,,,,,,,5.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-16,Santa Margarita,INS040801AT,INSDMCL0408001CONV,25.4,,,,,,,,5.0,5.3,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-17,Santa Margarita,INS040801AT,INSDMCL0408001CONV,30.5,,,,,,,,8.0,5.3,360.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-18,Santa Margarita,INS040801AT,INSDMCL0408001CONV,31.2,,,,,,,,8.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-19,Santa Margarita,INS040801AT,INSDMCL0408001CONV,4.2,,,,,,,,7.0,5.3,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-20,Santa Margarita,INS040801AT,INSDMCL0408001CONV,87.7,,,,,,,,8.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-21,Santa Margarita,INS040801AT,INSDMCL0408001CONV,5.1,,,,,,,,7.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-22,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,5.0,5.3,360.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-23,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,8.0,10.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-24,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,3.0,9.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-25,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,3.0,8.0,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-26,Santa Margarita,INS040801AT,INSDMCL0408001CONV,5.9,,,,,,,,6.0,2.0,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-27,Santa Margarita,INS040801AT,INSDMCL0408001CONV,10.9,,,,,,,,6.0,5.3,360.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-28,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,8.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-29,Santa Margarita,INS040801AT,INSDMCL0408001CONV,38.1,,,,,,,,6.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-06-30,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,5.0,7.3,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-07-01,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,4.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-07-02,Santa Margarita,INS040801AT,INSDMCL0408001CONV,27.4,,,,,,,,5.0,2.0,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-07-03,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,4.0,5.3,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-07-04,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,4.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-07-05,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,5.0,5.3,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-07-06,Santa Margarita,INS040801AT,INSDMCL0408001CONV,2.3,,,,,,,,2.0,5.3,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-07-07,Santa Margarita,INS040801AT,INSDMCL0408001CONV,6.9,,,,,,,,6.0,2.0,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-07-08,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,6.0,3.7,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
2025-07-09,Santa Margarita,INS040801AT,INSDMCL0408001CONV,0.0,,,,,,,,5.0,7.3,90.0,,,,,,14.5057497025,-91.0114364624,1137.0,CLIMATOLOGÍA
