FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-08-10,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,21.9,32.4,21.8,27.3,,,87.0,,8.0,8.0,45.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-11,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,3.3,35.4,23.2,29.6,,,90.0,,5.0,0.7,0.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-12,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,1.5,35.2,22.8,28.7,,,90.0,,5.0,3.7,45.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-13,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,0.0,34.4,21.4,28.1,,,88.0,,6.0,3.3,360.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-14,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,0.0,36.6,22.2,29.9,,,91.0,,5.0,2.7,45.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-15,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,0.3,33.2,22.6,28.1,,,89.0,,8.0,4.3,9.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-16,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,0.0,35.4,23.0,29.1,,,87.0,,5.0,2.3,0.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-17,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,0.0,34.6,23.2,28.7,,,88.0,,6.0,0.7,0.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-18,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,0.0,36.4,21.4,29.1,,,90.0,,5.0,0.7,0.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-19,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,0.0,35.2,22.2,29.3,,,91.0,,5.0,0.7,0.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-20,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,5.1,35.0,21.0,28.9,,,89.0,,6.0,5.7,360.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-21,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,23.7,35.0,23.4,28.3,,,90.0,,4.0,5.0,45.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-22,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,0.0,36.2,21.4,28.9,,,87.0,,5.0,1.3,0.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
2025-08-23,Santa María Cahabón,INS161201CV,INSDMCL1612001CONV,0.0,35.6,22.8,29.2,,,91.0,,5.0,5.7,360.0,,,,,,15.6084289551,-89.8122711182,380.0,CLIMATOLOGÍA
