FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-06-22,Santiago Atitlán,INS071901CV,INSDMCL0719001CONV,0.0,24.0,14.4,20.1,1.4,,84.0,,5.0,11.7,180.0,,,,,,14.6308584213,-91.2325286865,1569.0,CLIMATOLOGÍA
2025-06-23,Santiago Atitlán,INS071901CV,INSDMCL0719001CONV,1.2,26.0,15.0,21.9,2.0,,67.0,,7.0,15.0,360.0,,,,,,14.6308584213,-91.2325286865,1569.0,CLIMATOLOGÍA
2025-06-24,Santiago Atitlán,INS071901CV,INSDMCL0719001CONV,0.0,27.4,14.0,22.6,2.7,,68.0,,4.0,13.3,360.0,,,,,,14.6308584213,-91.2325286865,1569.0,CLIMATOLOGÍA
2025-06-25,Santiago Atitlán,INS071901CV,INSDMCL0719001CONV,0.2,26.0,15.4,21.5,3.5,,74.0,,5.0,17.7,360.0,,,,,,14.6308584213,-91.2325286865,1569.0,CLIMATOLOGÍA
2025-06-26,Santiago Atitlán,INS071901CV,INSDMCL0719001CONV,5.2,25.2,16.4,20.2,2.2,,84.0,,6.0,7.7,180.0,,,,,,14.6308584213,-91.2325286865,1569.0,CLIMATOLOGÍA
2025-06-27,Santiago Atitlán,INS071901CV,INSDMCL0719001CONV,16.3,22.0,14.8,18.8,1.3,,90.0,,7.0,3.7,9.0,,,,,,14.6308584213,-91.2325286865,1569.0,CLIMATOLOGÍA
2025-06-28,Santiago Atitlán,INS071901CV,INSDMCL0719001CONV,15.0,24.2,15.2,18.9,2.5,,90.0,,7.0,5.0,180.0,,,,,,14.6308584213,-91.2325286865,1569.0,CLIMATOLOGÍA
2025-06-29,Santiago Atitlán,INS071901CV,INSDMCL0719001CONV,7.5,25.6,15.0,19.8,2.5,,86.0,,6.0,4.7,180.0,,,,,,14.6308584213,-91.2325286865,1569.0,CLIMATOLOGÍA
2025-06-30,Santiago Atitlán,INS071901CV,INSDMCL0719001CONV,0.0,25.4,13.0,19.7,2.6,,88.0,,6.0,6.3,180.0,,,,,,14.6308584213,-91.2325286865,1569.0,CLIMATOLOGÍA
2025-07-01,Santiago Atitlán,INS071901CV,INSDMCL0719001CONV,1.0,28.4,17.0,21.9,3.1,,82.0,,5.0,8.7,180.0,,,,,,14.6308584213,-91.2325286865,1569.0,CLIMATOLOGÍA
