FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-11-23,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,,,,,,,,,,,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-11-24,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,23.4,7.5,17.4,,,77.0,,4.0,1.7,9.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-11-25,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,22.6,7.0,16.9,,,83.0,,5.0,1.4,9.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-11-26,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,22.4,7.2,16.7,,,84.0,,5.0,1.4,9.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-11-27,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.3,22.2,9.0,17.2,,,83.0,,7.0,1.7,360.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-11-28,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,21.4,9.4,16.6,,,88.0,,8.0,1.7,90.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-11-29,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,22.4,8.0,17.1,,,84.0,,8.0,1.7,360.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-11-30,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,23.0,8.6,17.6,,,78.0,,5.0,1.3,90.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-01,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,23.8,7.5,17.7,,,79.0,,5.0,1.0,360.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-02,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,23.6,7.2,17.3,,,80.0,,5.0,1.3,90.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-03,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,23.2,10.0,17.9,,,82.0,,7.0,1.7,360.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-04,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,24.0,7.0,17.7,,,69.0,,4.0,1.5,90.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-05,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,22.4,5.4,15.7,,,71.0,,5.0,1.0,360.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-06,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,23.0,5.0,16.1,,,74.0,,5.0,1.3,9.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-07,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,23.4,7.0,17.5,,,76.0,,5.0,1.0,360.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-08,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,23.0,11.0,17.8,,,81.0,,7.0,1.7,360.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-09,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.2,23.6,9.2,18.0,,,83.0,,6.0,1.3,9.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-10,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,23.0,10.0,17.7,,,83.0,,7.0,2.1,360.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-11,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,22.4,10.6,17.1,,,83.0,,8.0,2.3,90.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-12,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,23.4,10.4,18.0,,,83.0,,7.0,1.4,360.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-13,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,0.0,23.0,9.4,17.5,,,84.0,,6.0,1.7,9.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-14,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,1.4,22.6,10.4,17.4,,,83.0,,8.0,1.4,90.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
2025-12-15,Suiza Contenta,INS030801CV,INSDMCL0308001CONV,,,10.0,12.6,,,96.0,,8.0,3.0,90.0,,,,,,14.6185722351,-90.6591262817,2105.0,CLIMATOLOGÍA
