FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-09-23,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,6.0,34.0,23.4,27.3,3.4,,81.0,4.6,6.0,7.4,360.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-09-24,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,0.0,34.6,21.0,29.2,3.4,,68.0,9.3,2.0,7.4,90.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-09-25,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,0.0,35.0,22.0,29.3,4.2,,69.0,8.8,4.0,7.4,135.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-09-26,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,3.0,35.4,22.0,29.3,3.8,,70.0,8.3,4.0,7.4,9.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-09-27,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,65.8,34.0,22.6,27.0,3.7,,83.0,5.1,7.0,6.2,9.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-09-28,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,0.0,35.0,22.0,28.6,2.6,,73.0,7.8,4.0,7.4,9.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-09-29,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,4.6,34.4,23.0,28.2,3.0,,76.0,5.9,7.0,7.4,270.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-09-30,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,22.4,32.4,22.0,26.3,2.6,,83.0,5.2,6.0,6.2,9.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-10-01,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,9.2,33.6,21.0,27.3,3.2,,79.0,6.9,5.0,4.9,45.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-10-02,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,3.2,33.4,22.0,27.0,3.4,,81.0,5.5,7.0,7.4,9.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-10-03,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,1.7,32.8,22.0,26.7,2.2,,81.0,5.0,7.0,4.9,9.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-10-04,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,30.3,32.8,22.0,26.0,2.1,,84.0,6.7,7.0,4.9,9.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-10-05,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,23.2,32.8,22.0,26.3,3.4,,82.0,6.7,4.0,4.9,9.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-10-06,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,87.8,32.6,22.0,26.5,2.9,,81.0,6.1,7.0,6.2,9.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
2025-10-07,Tecún Umán Fegua Ayutla,INS121701CV,INSDMCL1217001CONV,3.7,29.0,22.0,26.3,2.4,,82.0,0.2,8.0,8.6,360.0,,,,,,14.7019500732,-92.1280593872,29.0,CLIMATOLOGÍA
