FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-12-26,Todos Santos,INS131501CV,INSDMCL1315001CONV,0.0,17.0,2.4,11.9,,0.0,,,6.0,7.0,270.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2025-12-27,Todos Santos,INS131501CV,INSDMCL1315001CONV,0.0,17.5,1.8,12.5,,0.5,,,6.0,4.7,315.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2025-12-28,Todos Santos,INS131501CV,INSDMCL1315001CONV,0.0,17.5,2.6,12.7,,0.5,,,4.0,4.7,270.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2025-12-29,Todos Santos,INS131501CV,INSDMCL1315001CONV,4.6,16.5,2.8,12.0,,0.5,,,5.0,7.0,9.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2025-12-30,Todos Santos,INS131501CV,INSDMCL1315001CONV,2.6,13.5,2.0,10.5,,0.5,,,6.0,7.0,270.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2025-12-31,Todos Santos,INS131501CV,INSDMCL1315001CONV,0.0,16.5,1.8,11.5,,0.0,,,6.0,6.7,360.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2026-01-01,Todos Santos,INS131501CV,INSDMCL1315001CONV,0.0,16.5,1.0,11.8,,0.5,,,5.0,6.7,9.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2026-01-02,Todos Santos,INS131501CV,INSDMCL1315001CONV,0.0,16.5,1.0,11.9,,0.5,,,3.0,6.7,9.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2026-01-03,Todos Santos,INS131501CV,INSDMCL1315001CONV,0.0,18.5,1.4,12.8,,0.5,,,0.0,4.7,9.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2026-01-04,Todos Santos,INS131501CV,INSDMCL1315001CONV,0.0,18.0,1.0,12.5,,1.0,,,0.0,7.0,270.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2026-01-05,Todos Santos,INS131501CV,INSDMCL1315001CONV,0.0,17.5,2.0,12.1,,1.0,,,0.0,7.0,9.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2026-01-06,Todos Santos,INS131501CV,INSDMCL1315001CONV,0.0,18.0,2.0,12.9,,1.0,,,0.0,4.7,9.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
2026-01-07,Todos Santos,INS131501CV,INSDMCL1315001CONV,0.0,18.5,1.6,13.0,,1.0,,,0.0,6.7,9.0,,,,,,15.5080223083,-91.6003112793,2480.0,CLIMATOLOGÍA
