FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-12-01,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,,,,,,,,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-02,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,4.2,,,,2.0,7.3,45.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-03,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,3.8,,,,1.0,9.7,45.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-04,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,4.3,,,,0.0,5.0,9.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-05,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,4.1,,,,1.0,5.7,90.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-06,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,2.8,,,,1.0,9.0,135.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-07,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,2.9,,,,0.0,4.3,0.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-08,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,3.2,,,,5.0,8.7,45.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-09,Totonicapán,INS080101AT,INSDMCL0801001CONV,3.4,,,,4.0,,,,4.0,8.0,45.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-10,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,2.8,,,,2.0,7.3,135.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-11,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,4.1,,,,1.0,12.3,45.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-12,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,3.4,,,,2.0,7.3,135.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-13,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,4.2,,,,2.0,7.3,90.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-14,Totonicapán,INS080101AT,INSDMCL0801001CONV,1.6,,,,3.8,,,,3.0,11.7,90.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-15,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,3.9,,,,7.0,25.3,45.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-16,Totonicapán,INS080101AT,INSDMCL0801001CONV,0.0,,,,4.3,,,,2.0,9.0,9.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-17,Totonicapán,INS080101AT,INSDMCL0801001CONV,9.6,,,,3.1,,,,4.0,8.0,135.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
2025-12-18,Totonicapán,INS080101AT,INSDMCL0801001CONV,,,,,3.6,,,,5.0,0.0,0.0,,,,,,14.9108200073,-91.3644104004,2478.0,CLIMATOLOGÍA
